Unnamed: 0,SVM,RFC,LRC,KNN,DST
Variance,0.259396562,0.170944537,0.264815747,0.195972742,0.200266909
Sim Entropy,0.295000012,0.261784629,0.311158503,0.309603996,0.319433995
Rep Entropy,0.315344841,0.283255923,0.345915569,0.367243038,0.327709487
SPECtrum,0.115287361,0.217190402,0.081099822,0.093869297,0.077789626
Lap Score,0.059339083,0.085059359,0.069514134,0.116924913,0.082754921
Mutual Corre,0.105114947,0.088362635,0.102616102,0.176210785,0.13571807
MICI,0.26448277,0.222145316,0.253230058,0.220675188,0.244954566
MDCM,0.140718397,0.094969187,0.158889448,0.031289766,0.09434061
Linear Depend,0.178017249,0.037161856,0.152269054,0.024702446,0.023171378
MPMR,0.391637947,0.31133377,0.446876573,0.317838145,0.357501258
MCFS,0.547614965,0.527698353,0.54452738,0.449584526,0.478323443
RSPCA,0.320431048,0.245268249,0.266470845,0.191032253,0.258195353
ANOVA F,0.584913817,0.532653267,0.5230111,0.581330907,0.5230111
ReliefF,0.590000024,0.613583531,0.546182478,0.55992212,0.562733462
Info Gain,0.556280217,0.402498497,0.543056046,0.439390717,0.453239732
MRMR,0.517097722,0.512833611,0.582594643,0.469346483,0.529631494
ERFS,0.666293131,0.491362316,0.665349564,0.466052823,0.483288738
Variance,0.062018822,0.14162736,0.176799136,0.030606485,0.033298088
Sim Entropy,0.413742005,0.294782528,0.507264812,0.459097277,0.196458721
Rep Entropy,0.366165922,0.271726911,0.467608931,0.421045971,0.236416428
SPECtrum,0.080709426,0.159742487,0.044612866,0.060385768,0.186469295
Lap Score,0.09940003,0.064226361,0.004956985,0.033915294,0.009989427
Mutual Corre,0.286306069,0.21079421,0.335422661,0.401193116,0.218102479
MICI,0.1316838,0.054345382,0.241239943,0.055422554,0.049947133
MDCM,0.157170987,0.217381529,0.105749016,0.30192884,0.176479868
Linear Depend,0.126586363,0.00164683,0.110706001,0.014062439,0.044952419
MPMR,0.274412048,0.093869297,0.391601825,0.186120518,0.08657503
MCFS,0.609143773,0.467699653,0.583271917,0.4673693,0.404571774
RSPCA,0.31009411,0.082341488,0.350293616,0.124907547,0.156501015
ANOVA F,0.612542064,0.556628461,0.604752186,0.63280976,0.467838142
ReliefF,0.566665128,0.617561162,0.507264812,0.634464165,0.542758841
Info Gain,0.599078212,0.5921795,0.570986275,0.613131552,0.475274352
MRMR,0.556470253,0.469346483,0.637798754,0.543471912,0.424550627
ERFS,0.690702772,0.520398206,0.687368605,0.566633576,0.422885722
Variance,0.179766455,0.000825819,0.121952829,0.105926299,0.083245221
Sim Entropy,0.350972603,0.248571525,0.415976089,0.415429703,0.194793817
