Unnamed: 0,SVM,RFC,LRC,KNN,DST
Variance,0.358904845,0.238242951,0.370976234,0.263927976,0.282492923
Sim Entropy,0.428261238,0.395020943,0.440459145,0.45914723,0.470212476
Rep Entropy,0.446952689,0.411890678,0.493737391,0.515459552,0.4680487
SPECtrum,0.154554636,0.300387017,0.104488834,0.120360382,0.106217339
Lap Score,0.077422213,0.069641726,0.077705456,0.154330358,0.103091886
Mutual Corre,0.170348188,0.138274152,0.145120709,0.260564612,0.213300189
MICI,0.364748942,0.320236591,0.365975388,0.316060117,0.349185295
MDCM,0.219998865,0.145147007,0.26677591,0.058426437,0.138673973
Linear Depend,0.261293932,0.064595224,0.213449579,0.035555562,0.036399514
MPMR,0.541714,0.45019603,0.616113867,0.443723804,0.508535346
MCFS,0.698538658,0.685555266,0.70747548,0.591567674,0.640092901
RSPCA,0.434733213,0.342056704,0.373765167,0.271519568,0.370534547
ANOVA F,0.747271667,0.717324197,0.705648248,0.760024161,0.708516293
ReliefF,0.774608518,0.817533306,0.731566095,0.734702835,0.769871352
Info Gain,0.719421184,0.561541499,0.722377587,0.600624867,0.63948178
MRMR,0.673471828,0.692091687,0.758734153,0.625681795,0.710776237
ERFS,0.815951883,0.667147549,0.831294508,0.635723838,0.669953004
Variance,0.108341938,0.209249287,0.273066056,0.042976663,0.046385277
Sim Entropy,0.567076611,0.41143551,0.681872041,0.630997405,0.317575547
Rep Entropy,0.509613752,0.375159227,0.630296636,0.574223983,0.340046423
SPECtrum,0.119282634,0.235723766,0.060227384,0.083117059,0.28836822
Lap Score,0.154912511,0.113633654,0.01879402,0.041534493,0.016263717
Mutual Corre,0.40911426,0.30832438,0.501862821,0.549034082,0.312090151
MICI,0.197222991,0.075867882,0.357807379,0.084655373,0.0687118
MDCM,0.248053659,0.33206012,0.160446135,0.43716977,0.256610665
Linear Depend,0.200611702,0.019267271,0.171116909,0.035044729,0.074870841
MPMR,0.392654806,0.158030059,0.530606617,0.247764789,0.13838595
MCFS,0.78177567,0.65374186,0.777572537,0.627824631,0.561242603
RSPCA,0.448278079,0.124588611,0.490951715,0.167580143,0.216191959
ANOVA F,0.773497532,0.723315446,0.789108509,0.817373829,0.63057993
ReliefF,0.73326869,0.79317732,0.693600279,0.824055883,0.719212378
Info Gain,0.752898705,0.759064031,0.746953787,0.805625411,0.637955063
MRMR,0.719036103,0.623231344,0.822851225,0.708538074,0.585878766
ERFS,0.854245679,0.699771898,0.870340974,0.737333399,0.581163251
Variance,0.274285805,0.016391481,0.181993898,0.15990781,0.114824982
Sim Entropy,0.495926979,0.370082155,0.580839783,0.593091626,0.285233726
Rep Entropy,0.531977634,0.419112392,0.582621205,0.585399127,0.276667571
SPECtrum,0.103736609,0.058115252,0.006692368,0.056636019,0.124979245
Lap Score,0.176468684,0.016583757,0.122581075,0.116637507,0.001347485
Mutual Corre,0.455218366,0.37027443,0.484787448,0.552080994,0.306985986
MICI,0.331928037,0.131468333,0.276842569,0.262410351,0.268438286
MDCM,0.195682762,0.320667367,0.296293769,0.32289262,0.206742718
Linear Depend,0.192820058,0.078736793,0.037072831,0.006538624,0.039654562
MPMR,0.414752355,0.184103735,0.335966513,0.321786823,0.119444931
MCFS,0.802818491,0.575768808,0.724075721,0.665497267,0.453524993
RSPCA,0.463806476,0.145888991,0.346029138,0.241255981,0.316947751
ANOVA F,0.715675858,0.693441378,0.687388062,0.78708682,0.492217066
ReliefF,0.62305042,0.748624429,0.581658274,0.812423986,0.587455389
Info Gain,0.546451814,0.648087022,0.621712827,0.698408966,0.404202466
MRMR,0.660362605,0.640373356,0.689410217,0.794923552,0.50001323
ERFS,0.829650271,0.616002444,0.739001147,0.715498506,0.409827975
Variance,0.306023824,0.091536726,0.354010731,0.044419902,0.02272297
Sim Entropy,0.559704632,0.28144056,0.587613574,0.526837343,0.053774487
Rep Entropy,0.568219994,0.215878522,0.607905957,0.496695267,0.06662837
SPECtrum,0.037236667,0.064311405,0.090354002,0.001201837,0.171240688
Lap Score,0.263447014,0.324491202,0.1775824,0.22748374,0.270364832
Mutual Corre,0.551574145,0.265759545,0.584968832,0.49563765,0.063114012
MICI,0.351246649,0.007600001,0.391181377,0.133355853,0.042846279
MDCM,0.190272634,0.09846331,0.15724193,0.226089609,0.005728884
Linear Depend,0.174155988,0.014815193,0.143825876,0.038122275,0.110437486
MPMR,0.122294067,0.115875972,0.200904215,0.077686755,0.133016031
MCFS,0.656596941,0.471488698,0.542701047,0.610629431,0.413298091
RSPCA,0.432214751,0.075519002,0.385459117,0.248251486,0.073368234
ANOVA F,0.809825345,0.631714045,0.726678914,0.825325623,0.432651129
ReliefF,0.7173591,0.764233058,0.603193508,0.814845603,0.665272722
Info Gain,0.777180211,0.708737122,0.755621361,0.809077772,0.443704819
MRMR,0.730829729,0.486977309,0.737305968,0.68769123,0.318843711
ERFS,0.783268963,0.562977323,0.702395374,0.663317973,0.458744031
Variance,0.096763448,0.145048002,0.120072354,0.116192575,0.045999228
Sim Entropy,0.409080463,0.280804844,0.516657485,0.524478371,0.079007042
Rep Entropy,0.375367154,0.254953275,0.458930392,0.466454252,0.053120447
SPECtrum,0.070552673,0.108749896,0.099579236,0.121340652,0.123995827
Lap Score,0.297456227,0.314840336,0.213686457,0.235512487,0.293172903
Mutual Corre,0.401962675,0.295343343,0.46518416,0.503212483,0.125776131
MICI,0.06107832,0.126176838,0.089813736,0.158195109,0.035413631
MDCM,0.237628329,0.285089369,0.223019004,0.277707472,0.087379286
Linear Depend,0.0668495,0.086990289,0.069801677,0.077461717,0.02213352
MPMR,0.080027027,0.150584185,0.148502948,0.000433016,0.083963026
MCFS,0.596643808,0.445783106,0.669586177,0.586640196,0.196843976
RSPCA,0.342423336,0.07110385,0.362045087,0.408430134,0.041957455
ANOVA F,0.762613321,0.723025537,0.764402928,0.746663594,0.361690581
ReliefF,0.777281736,0.833315936,0.671750943,0.81421406,0.56060356
Info Gain,0.762535443,0.758812314,0.766225296,0.778821689,0.356670987
MRMR,0.676286089,0.546830486,0.756465452,0.705238415,0.240677968
ERFS,0.70182356,0.587557539,0.712496649,0.656981208,0.240966666
Variance,0.202652138,0.365990132,0.292750524,0.166677239,0.073036529
Sim Entropy,0.459251805,0.330292003,0.51452829,0.470481754,0.016899025
Rep Entropy,0.425083432,0.258703042,0.382894641,0.460197209,0.172119704
SPECtrum,0.083495953,0.042683593,0.111251977,0.208153412,0.481694444
Lap Score,0.133256654,0.157437903,0.297882251,0.326256693,0.086998687
Mutual Corre,0.449145666,0.23027943,0.485868076,0.465556761,0.176741659
MICI,0.192401626,0.279996663,0.214806363,0.189950248,0.176452787
MDCM,0.31155781,0.384007811,0.204736558,0.346294657,0.232590291
Linear Depend,0.145287771,0.13913117,0.014814232,0.261555795,0.116896962
MPMR,0.178204908,0.285247805,0.14949787,0.299555501,0.254207562
MCFS,0.602999593,0.291751512,0.430968276,0.60215291,0.447607521
RSPCA,0.339951247,0.029676178,0.308194119,0.507660629,0.224309287
ANOVA F,0.730240688,0.512829401,0.571897129,0.55763483,0.435186015
ReliefF,0.622201256,0.625897564,0.441957918,0.657921222,0.539372599
Info Gain,0.564548142,0.602243338,0.442926169,0.526201781,0.344817152
MRMR,0.591257222,0.343973877,0.447719008,0.64382222,0.495030712
ERFS,0.640632927,0.3889699,0.577706632,0.557827967,0.369515728
Variance,0.009007534,0.190976211,0.084999686,0.329196961,0.145648946
Sim Entropy,0.557359208,0.236764135,0.597169852,0.256953034,0.099182765
Rep Entropy,0.312758909,0.016083733,0.393334718,0.155435366,0.080625365
SPECtrum,0.213820545,0.142000521,0.144658749,0.206748809,0.337764072
Lap Score,0.274994704,0.419046436,0.327111226,0.303781374,0.122391629
Mutual Corre,0.478266319,0.183731287,0.549046805,0.248368642,0.09414368
MICI,0.081260477,0.146347476,0.160104462,0.352345883,0.137848054
MDCM,0.274272175,0.122101129,0.296171534,0.028695018,0.076846051
Linear Depend,0.268877288,0.178804738,0.289848445,0.077355981,0.099425029
MPMR,0.264734786,0.194453775,0.284490714,0.052953159,0.064490601
MCFS,0.181451226,0.380117042,0.307466211,0.42584371,0.242021452
RSPCA,0.185834571,0.155910776,0.264314752,0.370141617,0.116383489
ANOVA F,0.73861776,0.441215906,0.79555072,0.411664996,0.094822018
ReliefF,0.67079633,0.544963225,0.692305787,0.673922991,0.134698626
Info Gain,0.725600449,0.610540988,0.762941728,0.51568134,0.076644577
MRMR,0.454952703,0.271394874,0.591474246,0.540720235,0.159845599
ERFS,0.501868948,0.47246568,0.60957469,0.523985494,0.033480845
Variance,0.135033794,0.022621902,0.144589589,0.256489138,0.044146433
Sim Entropy,0.32156189,0.23973403,0.341972766,0.220530461,0.144253818
