,SVM,randomfroest,logesticregression,knn,decisiontree
Variance,0.5977653631284916,0.6089385474860335,0.6256983240223464,0.6480446927374302,0.6983240223463687
Sim Entropy,0.7262569832402235,0.6089385474860335,0.7262569832402235,0.6927374301675978,0.664804469273743
Rep Entropy,0.7262569832402235,0.6536312849162011,0.7262569832402235,0.6927374301675978,0.664804469273743
Lap Score,0.5865921787709497,0.5865921787709497,0.5865921787709497,0.4860335195530726,0.5865921787709497
SPECtrum,0.5921787709497207,0.7094972067039106,0.7094972067039106,0.7094972067039106,0.6983240223463687
Mutual Corre,0.6368715083798883,0.6424581005586593,0.6368715083798883,0.7541899441340782,0.6368715083798883
MICI,0.5977653631284916,0.6089385474860335,0.6256983240223464,0.6480446927374302,0.6983240223463687
MDCM,0.5977653631284916,0.6089385474860335,0.6256983240223464,0.6480446927374302,0.6983240223463687
Linear Depend,0.770949720670391,0.770949720670391,0.770949720670391,0.7541899441340782,0.770949720670391
MPMR,0.6927374301675978,0.6871508379888268,0.6983240223463687,0.6871508379888268,0.6927374301675978
MCFS,0.5865921787709497,0.5865921787709497,0.5865921787709497,0.4860335195530726,0.5865921787709497
RSPCA,0.4860335195530726,0.5698324022346368,0.4860335195530726,0.5810055865921788,0.547486033519553
ANOVA F,0.7877094972067039,0.7094972067039106,0.7318435754189944,0.7430167597765364,0.7374301675977654
ReliefF,0.770949720670391,0.7597765363128491,0.7821229050279329,0.7597765363128491,0.7597765363128491
Info Gain,0.770949720670391,0.7597765363128491,0.7821229050279329,0.7597765363128491,0.7597765363128491
MRMR,0.7262569832402235,0.7262569832402235,0.7262569832402235,0.7318435754189944,0.7039106145251397
ERFS,0.7318435754189944,0.7150837988826816,0.7150837988826816,0.7150837988826816,0.7150837988826816
