,linear,ridge,lasso,gradboost,randomforest
Variance,0.20326530612244897,0.2,0.20326530612244897,0.0873469387755102,0.04653061224489796
Sim Entropy,0.30448979591836733,0.30122448979591837,0.30448979591836733,0.008979591836734694,0.05469387755102041
Rep Entropy,0.42367346938775513,0.4204081632653061,0.42367346938775513,0.2669387755102041,0.3436734693877551
SPECtrum,0.2,0.19673469387755102,0.2,0.08897959183673469,0.09714285714285714
Lap Score,0.010612244897959184,0.017142857142857144,0.010612244897959184,0.020408163265306124,0.015510204081632652
Mutual Corre,0.2751020408163265,0.2653061224489796,0.2751020408163265,0.06612244897959184,0.1657142857142857
MICI,0.17224489795918366,0.1689795918367347,0.17224489795918366,0.06938775510204082,0.035102040816326535
MDCM,0.2702040816326531,0.26040816326530614,0.2702040816326531,0.02857142857142857,0.10204081632653061
Linear Depend,0.27346938775510204,0.2636734693877551,0.27346938775510204,0.0873469387755102,0.18040816326530612
MPMR,0.39918367346938777,0.40244897959183673,0.39918367346938777,0.3240816326530612,0.3648979591836735
MCFS,0.07102040816326531,0.06775510204081632,0.07102040816326531,0.06938775510204082,0.013877551020408163
RSPCA,0.3061224489795918,0.29959183673469386,0.3061224489795918,0.0024489795918367346,0.08571428571428572
ANOVA F,0.6881632653061225,0.6848979591836735,0.6881632653061225,0.24081632653061225,0.3730612244897959
ReliefF,0.5183673469387755,0.5183673469387755,0.5183673469387755,0.1036734693877551,0.20979591836734693
Info Gain,0.5118367346938776,0.5118367346938776,0.5118367346938776,0.22448979591836735,0.3469387755102041
MRMR,0.6685714285714285,0.6718367346938776,0.6685714285714285,0.21142857142857144,0.3142857142857143
ERFS,0.2914285714285714,0.28816326530612246,0.2914285714285714,0.20979591836734693,0.11673469387755102
Variance,0.06612244897959184,0.07102040816326531,0.06612244897959184,0.11020408163265306,0.059591836734693884
Sim Entropy,0.1820408163265306,0.18040816326530612,0.1820408163265306,0.2587755102040816,0.20816326530612245
Rep Entropy,0.3240816326530612,0.3289795918367347,0.3240816326530612,0.35183673469387755,0.3436734693877551
SPECtrum,0.19836734693877553,0.20653061224489797,0.19836734693877553,0.2587755102040816,0.28
Lap Score,0.08244897959183674,0.08081632653061226,0.08244897959183674,0.038367346938775505,0.13795918367346938
Mutual Corre,0.28,0.2816326530612245,0.28,0.30775510204081635,0.3061224489795918
MICI,0.12489795918367345,0.12979591836734694,0.12489795918367345,0.12326530612244897,0.07591836734693877
MDCM,0.20326530612244897,0.1951020408163265,0.20326530612244897,0.3159183673469388,0.3273469387755102
Linear Depend,0.22775510204081634,0.22612244897959186,0.22775510204081634,0.12489795918367345,0.11020408163265306
MPMR,0.33224489795918366,0.33061224489795915,0.33224489795918366,0.24244897959183673,0.3355102040816326
MCFS,0.09224489795918367,0.09061224489795917,0.09224489795918367,0.1461224489795918,0.04979591836734694
RSPCA,0.0563265306122449,0.061224489795918366,0.0563265306122449,0.12326530612244897,0.09224489795918367
ANOVA F,0.7387755102040816,0.7436734693877551,0.7387755102040816,0.5151020408163265,0.5265306122448979
ReliefF,0.4971428571428571,0.49877551020408156,0.4971428571428571,0.4204081632653061,0.4448979591836735
Info Gain,0.4579591836734694,0.46285714285714286,0.4579591836734694,0.4497959183673469,0.44816326530612244
MRMR,0.8073469387755102,0.8122448979591836,0.8073469387755102,0.4857142857142857,0.506938775510204
ERFS,0.007346938775510204,0.015510204081632652,0.007346938775510204,0.04979591836734694,0.07755102040816327
