,linear,ridge,lasso,gradboost,randomforest
Variance,0.28720288115246095,0.28912364945978386,0.28720288115246095,0.13536614645858341,0.0757262905162065
Sim Entropy,0.4298199279711885,0.42156062424969987,0.4298199279711885,0.011668667466986795,0.10213685474189677
Rep Entropy,0.5944297719087634,0.5850180072028811,0.5944297719087634,0.38881152460984386,0.49445378151260505
SPECtrum,0.3044897959183674,0.3011284513805522,0.3044897959183674,0.1289315726290516,0.1495798319327731
Lap Score,0.01752701080432173,0.02770708283313325,0.01752701080432173,0.04989195678271309,0.006002400960384154
Mutual Corre,0.38103241296518603,0.36518607442977186,0.38103241296518603,0.0912845138055222,0.22842737094837934
MICI,0.24244897959183673,0.2444657863145258,0.24244897959183673,0.11318127250900359,0.05152460984393757
MDCM,0.3683553421368547,0.3582713085234094,0.3683553421368547,0.05459783913565427,0.13959183673469386
Linear Depend,0.3751740696278511,0.36509003601440576,0.3751740696278511,0.1341176470588235,0.2573349339735894
MPMR,0.5450660264105642,0.5503481392557023,0.5450660264105642,0.4616086434573829,0.5125090036014406
MCFS,0.09723889555822329,0.09330132052821127,0.09723889555822329,0.0885954381752701,0.012244897959183673
RSPCA,0.4412484993997599,0.4397118847539015,0.4412484993997599,0.00552220888355342,0.11913565426170468
ANOVA F,0.8647779111644658,0.8629531812725091,0.8647779111644658,0.3329171668667467,0.4855222088835534
ReliefF,0.6985354141656662,0.6998799519807922,0.6985354141656662,0.14468187274909963,0.2716446578631453
Info Gain,0.6765426170468187,0.6727971188475389,0.6765426170468187,0.33214885954381757,0.49128451380552224
MRMR,0.8331812725090036,0.836734693877551,0.8331812725090036,0.30343337334933973,0.42415366146458583
ERFS,0.4029291716686674,0.4071548619447779,0.4029291716686674,0.2647298919567827,0.16869147659063624
Variance,0.09867947178871549,0.1065546218487395,0.09867947178871549,0.14631452581032411,0.1065546218487395
Sim Entropy,0.2618487394957983,0.2632893157262905,0.2618487394957983,0.3780552220888355,0.3048739495798319
Rep Entropy,0.44912364945978384,0.4545018007202881,0.44912364945978384,0.5161584633853541,0.516734693877551
SPECtrum,0.2984393757503001,0.3049699879951981,0.2984393757503001,0.3677791116446578,0.4188715486194478
Lap Score,0.12653061224489795,0.12384153661464585,0.12653061224489795,0.04009603841536614,0.21949579831932772
Mutual Corre,0.3907322929171668,0.39438175270108033,0.3907322929171668,0.4411524609843937,0.4559423769507803
MICI,0.20806722689075627,0.21517406962785113,0.20806722689075627,0.17301320528211284,0.14372148859543818
MDCM,0.27625450180072025,0.272124849939976,0.27625450180072025,0.43020408163265306,0.46919567827130854
Linear Depend,0.2909483793517407,0.28845138055222086,0.2909483793517407,0.17493397358943577,0.16667466986794718
MPMR,0.46535414165666267,0.46669867947178867,0.46535414165666267,0.35241296518607446,0.4699639855942377
MCFS,0.13795918367346938,0.13181272509003603,0.13795918367346938,0.18549819927971187,0.0710204081632653
RSPCA,0.11337334933973588,0.12057623049219686,0.11337334933973588,0.15380552220888358,0.15140456182472986
ANOVA F,0.8988715486194477,0.9019447779111645,0.8988715486194477,0.6900840336134454,0.7020888355342136
ReliefF,0.6793277310924369,0.6823049219687876,0.6793277310924369,0.5782953181272509,0.6003841536614647
Info Gain,0.6357262905162064,0.6383193277310925,0.6357262905162064,0.6428331332533013,0.6319807923169267
MRMR,0.9366146458583434,0.9393997599039615,0.9366146458583434,0.6573349339735894,0.6869147659063625
ERFS,0.007154861944777911,0.01503001200480192,0.007154861944777911,0.07476590636254501,0.11779111644657862
Variance,0.030876350540216087,0.02885954381752701,0.030876350540216087,0.32254501800720287,0.2948859543817527
Sim Entropy,0.17810324129651858,0.17656662665066022,0.17810324129651858,0.16801920768307324,0.01310924369747899
Rep Entropy,0.4419207683073229,0.43404561824729887,0.4419207683073229,0.12614645858343337,0.27250900360144054
SPECtrum,0.2824969987995198,0.2694357743097239,0.2824969987995198,0.09915966386554621,0.26127250900360144
Lap Score,0.028187274909963984,0.02156062424969988,0.028187274909963984,0.2661704681872749,0.10309723889555823
Mutual Corre,0.46103241296518604,0.4577671068427371,0.46103241296518604,0.04019207683073229,0.22429771908763504
MICI,0.08388955582232892,0.08427370948379351,0.08388955582232892,0.2717406962785114,0.25406962785114046
MDCM,0.5073229291716687,0.5020408163265306,0.5073229291716687,0.24484993997599036,0.3554861944777911
Linear Depend,0.29162064825930367,0.2901800720288115,0.29162064825930367,0.021464585834333732,0.016950780312124852
MPMR,0.0006242496998799519,0.0010084033613445378,0.0006242496998799519,0.04355342136854741,0.2002881152460984
MCFS,0.23198079231692675,0.22295318127250902,0.23198079231692675,0.10338535414165667,0.06036014405762304
RSPCA,0.09272509003601441,0.09445378151260504,0.09272509003601441,0.2797118847539015,0.2270828331332533
ANOVA F,0.8327971188475389,0.8335654261704681,0.8327971188475389,0.22602641056422568,0.4344297719087635
ReliefF,0.5997118847539016,0.6084513805522209,0.5997118847539016,0.008307322929171669,0.2640576230492197
Info Gain,0.6636734693877551,0.6609843937575028,0.6636734693877551,0.18809123649459786,0.3332052821128451
