,KNN,AGG,SPEC,DBscan,BRICH
Variance,0.597594955272034,0.6694529989734566,0.9648042234931808,0.876521484088576,0.6782519431001613
Sim Entropy,0.5953952192403579,0.6895439213960991,0.9514591582343452,0.8807743070831501,0.9680305030063059
Rep Entropy,0.6031676198856137,0.9680305030063059,0.8209414870215574,0.727819328347265,0.9680305030063059
Lap Score,0.594368675758909,0.9128904531456226,0.9618712421176125,0.895292564892213,0.7285525736911571
SPECtrum,0.9680305030063059,0.9680305030063059,0.9605514004986069,0.7726939433934594,0.9680305030063059
Mutual Corre,0.5959818155154715,0.9680305030063059,0.5028596568411791,0.8816542014958205,0.9680305030063059
MICI,0.9678838539375275,0.9674439067311923,0.9606980495673852,0.7795864496260448,0.9674439067311923
MDCM,0.6946766388033436,0.747323654494794,0.9608446986361636,0.7999706701862443,0.7867722539961871
Linear Depend,0.6430561665933421,0.8178618565772108,0.961284645842499,0.8281272913916997,0.8596568411790585
MPMR,0.6264848218213814,0.9674439067311923,0.9494060712714474,0.78281272913917,0.9674439067311923
MCFS,0.585863029769761,0.9680305030063059,0.9491127731338906,0.8065698782812729,0.9680305030063059
RSPCA,0.6203255609326881,0.5684117905851298,0.9618712421176125,0.8941193723419856,0.9202229065845432
