,KMS,AGC,SPC,DBC,BIR
Variance,0.129742733,0.095483562,0.122699397,0.303849711,0.046973861
Sim Entropy,0.240037129,0.124628916,0.001634656,0.195581604,0.045130287
Rep Entropy,0.263455386,0.107438721,0.04413571,0.166121614,0.019857326
SPECtrum,0.221637071,0.210579893,0.238659763,0.090834971,0.148027343
Lap Score,0.042654682,0.102281662,0.032693118,0.095744969,0.070403248
Mutual Corre,0.224982536,0.177918522,0.040866398,0.280688244,0.041519864
MICI,0.095704871,0.05275306,0.023806701,0.028092402,0.081688736
MDCM,0.194873349,0.169323424,0.053943645,0.198854936,0.054156345
Linear Depend,0.141345905,0.055868135,0.189620085,0.033551656,0.01263648
MPMR,0.111236718,0.107438721,0.067020892,0.094108303,0.149832554
MCFS,0.032618286,0.083372447,0.06375158,0.06137498,0.128170016
RSPCA,0.268473584,0.232927147,0.227217171,0.009001664,0.088455363
Variance,0.053633448,0.003445844,0.2132043,0.189465104,0.053658133
Sim Entropy,0.088288907,0.041350127,0.011480232,0.155165387,0.152177985
Rep Entropy,0.076737088,0.161954665,0.065601323,0.035933037,0.164492966
SPECtrum,0.056933968,0.124050382,0.054121092,0.093099232,0.088843795
Lap Score,0.017327729,0.060302269,0.114802316,0.081665993,0.030787454
Mutual Corre,0.00907643,0,0.029520595,0.11596571,0.088843795
MICI,0.148364496,0.017011818,0.078410091,0.04668372,0.106053555
MDCM,0.038781109,0.084423176,0.041000827,0.009799919,0.12051089
Linear Depend,0.193905544,0.039627205,0.067241356,0.205798302,0.048380284
MPMR,0.051983188,0.310125954,0.103322084,0.062066155,0.236623572
MCFS,0.01072669,0.053410581,0.118082382,0.097999192,0.083565945
RSPCA,0.254965162,0.196413104,0.019680397,0.192731743,0.157455834
Variance,0.028712407,0.003408857,0.24887809,0.180107166,0.078286268
Sim Entropy,0.076292967,0.052837284,0.034612185,0.111338975,0.049036454
Rep Entropy,0.092700056,0.047723999,0.021426591,0.15390976,0.071403959
SPECtrum,0.13535849,0.308501564,0.02307479,0.062218839,0.310564207
Lap Score,0.159969124,0.047723999,0.118670347,0.044208123,0.066242227
Mutual Corre,0.050041623,0.015339857,0.031315786,0.171920477,0.102374351
MICI,0.039005009,0.000862124,0.031679935,0.071224225,0.01479497
MDCM,0.041838079,0.039201856,0.062631572,0.009824027,0.086889155
Linear Depend,0.02379028,0.088630284,0.107132953,0.201392558,0.16087398
MPMR,0.159969124,0.209644709,0.016481993,0.13098703,0.238299959
MCFS,0.017227444,0.042610713,0.105484753,0.055669488,0.002580866
RSPCA,0.097622183,0.211349138,0.075817166,0.101514948,0.236579382
Variance,0.145484376,0.136112305,0.029247769,0.054693878,0.090189446
Sim Entropy,0.086636763,0.222883899,0.012534758,0.049795918,0.150877671
Rep Entropy,0.032693118,0.028923865,0.017548661,0.097142857,0.056473765
SPECtrum,0.03596243,0.309655494,0.037604274,0.105306122,0.265510986
Lap Score,0.132407129,0.015312634,0.049303382,0.06122449,0.071645822
Mutual Corre,0.062116924,0.216078284,0.009192156,0.035102041,0.144134535
MICI,0.160327212,0.14644032,0.012545003,0.164215741,0.193180035
MDCM,0.086636763,0.059549133,0.086072006,0.041632653,0.017700732
Linear Depend,0.088271419,0.205869861,0.005849554,0.097142857,0.142448751
MPMR,0.031058462,0.190557227,0.067687694,0.031836735,0.223366385
MCFS,0.016346559,0.003402808,0.002506952,0.113469388,0.037930141
RSPCA,0.080098139,0.34368357,0.027576468,0.044897959,0.263825202
Variance,0.120964537,0.187028003,0.115858479,0.009799919,0.139970842
Sim Entropy,0.039231742,0.123208021,0.102522251,0.013066559,0.20457277
Rep Entropy,0.086636763,0.048751375,0.072515739,0.11923235,0.059218433
SPECtrum,0.086636763,0.124980798,0.089186023,0.042466316,0.15971032
Lap Score,0.129137817,0.135617462,0.02750597,0.058799515,0.102286385
Mutual Corre,0.022885183,0.167527453,0.030840027,0.042466316,0.206367268
MICI,0.093327883,0.170465157,0.092671504,0.019631917,0.096162771
MDCM,0.148753688,0.117889689,0.110857394,0.124132309,0.114847871
Linear Depend,0.134041784,0.029250825,0.079183853,0.099632511,0.061012931
MPMR,0.022885183,0.064706371,0.067514653,0.138832188,0.068190923
MCFS,0.116060569,0.137390239,0.099188194,0.039199677,0.102286385
RSPCA,0.183081462,0.096616362,0.150866077,0.032666397,0.152532328
Variance,0.071194977,0.000890685,0.074564499,0.06127453,0.041437238
Sim Entropy,0.08265164,0.162995404,0.084618139,0.095588267,0.084676094
Rep Entropy,0.017184995,0.043643578,0.027647511,0.185457578,0.054048571
SPECtrum,0.025368325,0.189715962,0.195208183,0.020424843,0.136923046
Lap Score,0.046644985,0.043643578,0.054457218,0.151143841,0.043238857
Mutual Corre,0.054828316,0.170120886,0.014242657,0.105392192,0.115303618
MICI,0.006554696,0.133766686,0.042780388,0.206134987,0.080270397
MDCM,0.043371653,0.020485761,0.051106005,0.008986931,0.014412952
Linear Depend,0.040098321,0.025829873,0.208613037,0.180555616,0.086477714
MPMR,0.022094993,0.139837587,0.054457218,0.129902004,0.091882571
MCFS,0.012274996,0.129149364,0.014242657,0.084150355,0.113501999
RSPCA,0.012274996,0.18259048,0.198559397,0.051470605,0.106295523
Variance,0.008166599,0.000925519,0.273976219,0.173131905,0.096820686
Sim Entropy,0.071866074,0.123094074,0.016705867,0.037566357,0.12939587
Rep Entropy,0.006533279,0.021286945,0.006682347,0.156798706,0.05519684
SPECtrum,0.053899555,0.223050165,0.163717497,0.042466316,0.241599281
Lap Score,0.099632511,0.030542139,0.040094081,0.00326664,0.035289783
Mutual Corre,0.048999596,0.1434555,0.02004704,0.011433239,0.089581756
MICI,0.018025474,0.036213697,0.118162832,0.008193397,0.025419392
MDCM,0.11106575,0.137902384,0.108588136,0.151898747,0.11491801
Linear Depend,0.013066559,0.050903565,0.215505685,0.22703146,0.060626037
MPMR,0.022866478,0.041648371,0.00501176,0.102899151,0.058816304
