,KMS,AGC,SPC,DBC,BIR
Variance,0.18960179,0.132166368,0.229079121,0.411715268,0.077027833
Sim Entropy,0.36809667,0.185519266,0.000288136,0.309654188,0.042565969
Rep Entropy,0.363420131,0.137015276,0.053257138,0.261095108,0.006970734
SPECtrum,0.325959605,0.310153644,0.352390329,0.138856872,0.222667972
Lap Score,0.088275704,0.146919995,0.05186448,0.135062444,0.090520661
Mutual Corre,0.370941163,0.294908145,0.057819291,0.414505295,0.065455683
MICI,0.135941706,0.092204727,0.044959026,0.036509678,0.123456908
MDCM,0.334975201,0.277332125,0.060748674,0.326753131,0.077518513
Linear Depend,0.207069443,0.120216096,0.290393066,0.038520654,0.004152777
MPMR,0.163389602,0.160660364,0.10353687,0.129827093,0.208083813
MCFS,0.041510312,0.113515845,0.065839076,0.114361194,0.172389702
RSPCA,0.373303538,0.352685671,0.339232118,0.01623439,0.135212457
Variance,0.089532225,0.031541351,0.291191274,0.274772504,0.084010558
Sim Entropy,0.12718192,0.034889587,0.002594346,0.212153953,0.174948816
Rep Entropy,0.106361591,0.205212882,0.090417749,0.052966458,0.187096685
SPECtrum,0.078280592,0.171002648,0.079223628,0.128742587,0.106989056
Lap Score,0.01947398,0.086714453,0.172091593,0.1172177,0.045030049
Mutual Corre,0.000336587,0.024019952,0.040548661,0.152944849,0.092548217
MICI,0.223086993,0.028407178,0.110011958,0.080591603,0.155265643
MDCM,0.063326499,0.129271014,0.049628871,0.000960407,0.190023882
Linear Depend,0.27739603,0.045759222,0.123519677,0.3035367,0.055811892
MPMR,0.081117542,0.435755896,0.143890095,0.083123244,0.327699721
MCFS,0.018271883,0.069390972,0.177904849,0.128214363,0.115429141
RSPCA,0.342405465,0.252573434,0.006053473,0.264015943,0.191389907
Variance,0.036850202,0.006823335,0.345916441,0.262398242,0.114559466
Sim Entropy,0.093734999,0.043408027,0.051565482,0.176517214,0.096703522
Rep Entropy,0.143845509,0.05037654,0.037388579,0.209563157,0.105049235
SPECtrum,0.214230836,0.473326551,0.040272017,0.08213454,0.471823908
Lap Score,0.242433012,0.052505808,0.16478848,0.077763638,0.064679275
Mutual Corre,0.074709341,0.011372226,0.057380415,0.234107456,0.142993116
MICI,0.038972906,0.021286377,0.036915011,0.075569669,0.003545056
MDCM,0.039732878,0.049989401,0.093759791,0.006868561,0.114607988
Linear Depend,0.029643513,0.126449471,0.142105434,0.276327491,0.226692853
MPMR,0.235370457,0.302888343,0.011485695,0.192559866,0.343290225
MCFS,0.010761989,0.066249264,0.143258809,0.075842362,0.002086428
RSPCA,0.14845779,0.294661627,0.108176981,0.188621251,0.329801224
Variance,0.210243235,0.197823096,0.050232599,0.060264106,0.135340759
Sim Entropy,0.128604702,0.306105212,0.03183485,0.06545018,0.208298264
Rep Entropy,0.025115855,0.044600997,0.019312821,0.166482593,0.062238401
SPECtrum,0.062045286,0.422087175,0.029041474,0.174453782,0.387191419
Lap Score,0.19574039,0.029056024,0.056204644,0.087923169,0.100238108
Mutual Corre,0.072610272,0.286637676,0.002889699,0.058727491,0.208539686
MICI,0.234361868,0.19591965,0.022323996,0.246254322,0.279796536
MDCM,0.125675319,0.061937758,0.142413994,0.0727491,0.029163688
Linear Depend,0.10012726,0.308090707,0.011462472,0.142569028,0.222686972
MPMR,0.041203448,0.286637676,0.098972187,0.038367347,0.290767767
MCFS,0.024347492,0.000193707,0.00322683,0.165810324,0.00840146
RSPCA,0.118231806,0.469884334,0.043104675,0.062569028,0.381011035
Variance,0.18925733,0.255249619,0.161073484,0.026843382,0.194725399
Sim Entropy,0.064878623,0.187012626,0.144316063,0.035487047,0.27568809
Rep Entropy,0.135808102,0.075365498,0.100496371,0.183629859,0.089409683
SPECtrum,0.130093404,0.164791357,0.120624537,0.04797234,0.211569986
Lap Score,0.193723438,0.161055037,0.02484721,0.09584864,0.141919348
Mutual Corre,0.041347516,0.231946784,0.051090872,0.078705371,0.276132669
MICI,0.103594842,0.235312407,0.109824623,0.024348661,0.138227803
MDCM,0.230124619,0.167151137,0.177638291,0.171336647,0.168297675
Linear Depend,0.164285543,0.047687236,0.132277686,0.128646546,0.085853055
MPMR,0.030830552,0.087508537,0.078393911,0.215563399,0.09672053
MCFS,0.167310971,0.178065124,0.115423959,0.046819852,0.134559104
RSPCA,0.22671501,0.137948851,0.215246181,0.017959615,0.216904928
Variance,0.084101828,0.009349223,0.113627051,0.094890511,0.060382823
Sim Entropy,0.082372721,0.231554043,0.11497574,0.154917403,0.132653204
Rep Entropy,0.034101826,0.060794685,0.045903595,0.291682674,0.068838408
SPECtrum,0.029538906,0.239814997,0.285006893,0.017431809,0.178263623
Lap Score,0.079298753,0.064504694,0.086412433,0.21412793,0.053568617
Mutual Corre,0.043756005,0.250598757,0.017773795,0.177247407,0.15518485
MICI,0.032014795,0.189867216,0.068402728,0.303469804,0.122689425
MDCM,0.04860711,0.029135939,0.07716428,0.014070304,0.03417051
Linear Depend,0.071661866,0.028987539,0.339676967,0.245774107,0.111265548
MPMR,0.027425553,0.200340499,0.092385199,0.174606224,0.118925313
MCFS,0.026416908,0.180306449,0.002697378,0.12658471,0.167917966
RSPCA,0.017435159,0.227893501,0.275469735,0.079427584,0.160457156
Variance,0.014358088,0.006552505,0.363969899,0.237364643,0.115813585
Sim Entropy,0.117553843,0.183820273,0.021129699,0.066027996,0.180782182
Rep Entropy,0.016807126,0.027460498,0.002454703,0.234579462,0.073492318
SPECtrum,0.085428222,0.317571405,0.238202464,0.061129919,0.345408939
Lap Score,0.156066172,0.046467764,0.061271315,0.021561142,0.057634232
Mutual Corre,0.089077769,0.208829834,0.042500056,0.031405316,0.131423889
MICI,0.061243608,0.056688,0.15895173,0.007685472,0.0237692
MDCM,0.173641624,0.171015378,0.151902804,0.233859156,0.166807244
Linear Depend,0.018775961,0.083081761,0.301784087,0.326634493,0.091233552
MPMR,0.030492929,0.06777591,0.011888464,0.15313693,0.081619587
MCFS,0.167639079,0.037064169,0.164705765,0.100938798,0.165469218
RSPCA,0.064539365,0.201226927,0.301976613,0.172201013,0.181129078
Variance,0.007107013,0.191385894,0.110213915,0.464681873,0.152471496
Sim Entropy,0.099642248,0.272285493,0.047759363,0.022136855,0.265649245
Rep Entropy,0.028235972,0.178838401,0.039493319,0.029147659,0.294017174
SPECtrum,0.273668035,0.325404843,0.040846824,0.058055222,0.21395984
Lap Score,0.13445701,0.092665925,0.168027881,0.29517407,0.017442112
Mutual Corre,0.073086989,0.241771161,0.012326556,0.013877551,0.33747547
MICI,0.027330804,0.115252563,0.049754422,0.093614163,0.082161311
MDCM,0.339167807,0.016209214,0.00860442,0.231020408,0.038019885
Linear Depend,0.11577709,0.228393677,0.001015128,0.297286915,0.039881683
MPMR,0.11049485,0.056097549,0.020109206,0.101848739,0.220819097
MCFS,0.175418377,0.001122927,0.124038994,0.204897959,0.026114173
RSPCA,0.002016855,0.321938415,0.032919156,0.400048019,0.174274136
Variance,0.160235323,0.132453771,0.084609109,0.164825666,0.089917085
Sim Entropy,0.044325986,0.059967988,0.140455011,0.147964943,0.108730743
Rep Entropy,0.06838592,0.106655161,0.132079032,0.070308561,0.289897238
SPECtrum,0.10887,0.18424577,0.125349198,0.150414216,0.112946308
Lap Score,0.087691495,0.280684919,0.216758734,0.20722776,0.19931399
Mutual Corre,0.055659607,0.027838632,0.107628918,0.098018971,0.204969017
MICI,0.244782287,0.042380067,0.169178092,0.019838601,0.117958505
MDCM,0.274696251,0.231494823,0.048464483,0.026029536,0.254527615
Linear Depend,0.125774385,0.033968239,0.058680274,0.119005884,0.046731085
MPMR,0.004802382,0.003218044,0.195600912,0.137639574,0.185741926
MCFS,0.127551266,0.060172308,0.056114222,0.165061833,0.02164333
RSPCA,0.236229171,0.178014003,0.054613324,0.141961821,0.01238965
