,LNR,RDR,LSR,GBR,RFR
Variance,0.003409364,0.001392557,0.003409364,0.03212485,0.022905162
Sim Entropy,0.296518607,0.297094838,0.296518607,0.260120048,0.23332533
Rep Entropy,0.45997599,0.462953181,0.45997599,0.466506603,0.47092437
SPECtrum,0.403985594,0.406482593,0.403985594,0.466314526,0.470060024
Lap Score,0.039903962,0.035966387,0.039903962,0.126722689,0.110108043
Mutual Corre,0.457382953,0.461032413,0.457382953,0.4084994,0.391308523
MICI,0.024345738,0.022328932,0.024345738,0.06727491,0.057767107
MDCM,0.309291717,0.311980792,0.309291717,0.298055222,0.315918367
Linear Depend,0.35759904,0.361056423,0.35759904,0.364513806,0.374405762
MPMR,0.151212485,0.147659064,0.151212485,0.133061224,0.14727491
MCFS,0.396398559,0.394669868,0.396398559,0.394669868,0.434333733
RSPCA,0.187611044,0.187034814,0.187611044,0.202593037,0.194333733
ANOVA F,0.890036014,0.890420168,0.890036014,0.8242497,0.821368547
ReliefF,0.772292917,0.774021609,0.772292917,0.764897959,0.763073229
Info Gain,0.782665066,0.782761104,0.782665066,0.779879952,0.783241297
MRMR,0.93152461,0.931812725,0.93152461,0.870060024,0.862953181
ERFS,0.972340936,0.972244898,0.972340936,0.886386555,0.878703481
Variance,0.239567827,0.239759904,0.239567827,0.293061224,0.278751501
Sim Entropy,0.244465786,0.234381753,0.244465786,0.059879952,0.005042017
Rep Entropy,0.101560624,0.093397359,0.101560624,0.029627851,0.025402161
SPECtrum,0.047587035,0.044513806,0.047587035,0.048259304,0.076782713
Lap Score,0.122785114,0.119135654,0.122785114,0.100312125,0.074285714
Mutual Corre,0.212004802,0.203169268,0.212004802,0.022040816,0.017815126
MICI,0.289891957,0.289123649,0.289891957,0.30362545,0.275486194
MDCM,0.112028812,0.110492197,0.112028812,0.123937575,0.155726291
Linear Depend,0.103769508,0.103673469,0.103769508,0.061896759,0.049027611
MPMR,0.148427371,0.147755102,0.148427371,0.089171669,0.064777911
MCFS,0.177334934,0.166098439,0.177334934,0.006002401,0.006098439
RSPCA,0.161488595,0.161488595,0.161488595,0.061320528,0.013397359
ANOVA F,0.741752701,0.734165666,0.741752701,0.444609844,0.379879952
ReliefF,0.621704682,0.615654262,0.621704682,0.334165666,0.323217287
Info Gain,0.7127491,0.707466987,0.7127491,0.488883553,0.434237695
MRMR,0.762112845,0.755870348,0.762112845,0.483409364,0.419639856
ERFS,0.906170468,0.905786315,0.906170468,0.646866747,0.543433373
Variance,0.076782713,0.071692677,0.078127251,0.000720288,0.003313325
Sim Entropy,0.145066026,0.145258103,0.149003601,0.203841537,0.225162065
Rep Entropy,0.116062425,0.119615846,0.118559424,0.319759904,0.366146459
SPECtrum,0.069579832,0.073997599,0.071116447,0.301608643,0.358655462
Lap Score,0.038943577,0.036062425,0.04,0.092052821,0.113853541
Mutual Corre,0.131044418,0.134117647,0.135078031,0.232172869,0.274909964
MICI,0.015030012,0.010036014,0.016854742,0.042496999,0.000144058
MDCM,0.178583433,0.184921969,0.181176471,0.265306122,0.304489796
Linear Depend,0.103097239,0.107418968,0.105882353,0.236206483,0.278079232
MPMR,0.063241297,0.06180072,0.059879952,0.136326531,0.135366146
MCFS,0.147370948,0.148427371,0.144969988,0.189339736,0.288067227
RSPCA,0.061512605,0.056614646,0.061896759,0.096854742,0.041440576
ANOVA F,0.549195678,0.544585834,0.551788715,0.354717887,0.179543818
ReliefF,0.378823529,0.377767107,0.382665066,0.419831933,0.354141657
Info Gain,0.465066026,0.460936375,0.466890756,0.286434574,0.20605042
MRMR,0.606626651,0.601536615,0.608643457,0.37152461,0.16667467
ERFS,0.762881152,0.763841537,0.763841537,0.634381753,0.432316927
Variance,0.12729892,0.136614646,0.128643457,0.15879952,0.173301321
Sim Entropy,0.149387755,0.160048019,0.151980792,0.10002401,0.087635054
Rep Entropy,0.095414166,0.118463385,0.096758703,0.096470588,0.0557503
SPECtrum,0.116638655,0.141704682,0.11817527,0.121152461,0.071980792
Lap Score,0.374981993,0.357022809,0.376902761,0.061128451,0.020888355
Mutual Corre,0.079567827,0.074765906,0.080816327,0.138535414,0.096662665
MICI,0.141032413,0.150348139,0.143145258,0.169555822,0.187611044
MDCM,0.127010804,0.154093637,0.129027611,0.05939976,0.059783914
Linear Depend,0.183865546,0.217767107,0.186938776,0.054405762,0.008595438
MPMR,0.04364946,0.014453782,0.04182473,0.058343337,0.014357743
MCFS,0.014453782,0.011284514,0.014933974,0.039231693,0.085522209
RSPCA,0.26665066,0.308235294,0.271164466,0.023097239,0.036062425
ANOVA F,0.405138055,0.403697479,0.405522209,0.219015606,0.088883553
ReliefF,0.28057623,0.276734694,0.279519808,0.267418968,0.213061224
Info Gain,0.322352941,0.319855942,0.321776711,0.236686675,0.147947179
MRMR,0.456134454,0.45517407,0.4569988,0.197695078,0.062761104
ERFS,0.58665066,0.573781513,0.586746699,0.365186074,0.140360144
Variance,0.357791116,0.385162065,0.354141657,0.313517407,0.289123649
Sim Entropy,0.04,0.054309724,0.044417767,0.071404562,0.069387755
Rep Entropy,0.068811525,0.093301321,0.066986795,0.180696279,0.058727491
SPECtrum,0.11635054,0.144393758,0.113757503,0.11577431,0.148907563
Lap Score,0.204129652,0.211236495,0.202496999,0.179831933,0.041248499
Mutual Corre,0.036254502,0.053445378,0.038463385,0.090036014,0.002256903
MICI,0.2484994,0.276734694,0.243121248,0.242641056,0.197118848
MDCM,0.006866747,0.027707083,0.006098439,0.147755102,0.189627851
Linear Depend,0.040288115,0.070252101,0.038751501,0.124513806,0.217863145
MPMR,0.021560624,0.049027611,0.0230012,0.021272509,0.245714286
MCFS,0.040960384,0.031164466,0.035006002,0.008883553,0.039231693
RSPCA,0.07515006,0.095894358,0.068619448,0.079087635,0.155534214
ANOVA F,0.338679472,0.350396158,0.33877551,0.05027611,0.013397359
ReliefF,0.233229292,0.252436975,0.233229292,0.035678271,0.081008403
Info Gain,0.216518607,0.231212485,0.219303721,0.043553421,0.045090036
MRMR,0.399279712,0.413493397,0.399087635,0.099543818,0.002545018
ERFS,0.529315726,0.512989196,0.525762305,0.038655462,0.083985594
Variance,0.306122449,0.277214886,0.313037215,0.037406963,0.104441777
Sim Entropy,0.075822329,0.072653061,0.0884994,0.097911164,0.039615846
Rep Entropy,0.000336134,0.027803121,0.013205282,0.106554622,0.074765906
SPECtrum,0.057094838,0.078991597,0.046146459,0.040480192,0.022617047
Lap Score,0.063337335,0.067755102,0.062857143,0.125186074,0.082641056
Mutual Corre,0.049603842,0.017527011,0.051428571,0.057286915,0.06304922
MICI,0.305258103,0.26972389,0.314381753,0.016662665,0.108763505
MDCM,0.035870348,0.067563025,0.022136855,0.035390156,0.06545018
Linear Depend,0.116254502,0.14967587,0.106746699,0.087154862,0.042785114
MPMR,0.078991597,0.079759904,0.064201681,0.143337335,0.031644658
MCFS,0.042208884,0.052965186,0.042016807,0.017815126,0.038655462
RSPCA,0.311308523,0.316494598,0.320240096,0.062088836,0.056614646
ANOVA F,0.303817527,0.298919568,0.305642257,0.008307323,0.027322929
ReliefF,0.103097239,0.094837935,0.100504202,0.010612245,0.045282113
Info Gain,0.311596639,0.296038415,0.316110444,0.050660264,0.036062425
MRMR,0.368355342,0.359615846,0.36969988,0.003409364,0.023385354
ERFS,0.218631453,0.246290516,0.223721489,0.185018007,0.474381753
Variance,0.218727491,0.188859544,0.226986795,0.096086435,0.018967587
Sim Entropy,0.087923169,0.052677071,0.089363745,0.086962785,0.010132053
Rep Entropy,0.061320528,0.027034814,0.062280912,0.131140456,0.102521008
SPECtrum,0.004177671,0.037695078,0.004945978,0.118079232,0.089747899
Lap Score,0.036734694,0.034429772,0.035390156,0.136422569,0.27817527
Mutual Corre,0.185978391,0.151116447,0.186842737,0.075918367,0.063145258
MICI,0.230348139,0.191356543,0.239663866,0.17819928,0.064105642
MDCM,0.023577431,0.070732293,0.018967587,0.179063625,0.131332533
Linear Depend,0.046914766,0.088211285,0.045570228,0.18002401,0.107322929
MPMR,0.040768307,0.005138055,0.046338535,0.257334934,0.201440576
MCFS,0.189051621,0.181944778,0.19452581,0.003697479,0.085330132
RSPCA,0.244081633,0.239279712,0.248211285,0.208739496,0.089747899
ANOVA F,0.125090036,0.14180072,0.122304922,0.002256903,0.030108043
ReliefF,0.08062425,0.074861945,0.084465786,0.081584634,0.095318127
Info Gain,0.140264106,0.151788715,0.142376951,0.056902761,0.036446579
MRMR,0.186362545,0.204321729,0.183097239,0.044897959,0.048931573
ERFS,0.295654262,0.270108043,0.295462185,0.088979592,0.107226891
Variance,0.097334934,0.106554622,0.098679472,0.129123649,0.295270108
Sim Entropy,0.227370948,0.208067227,0.226986795,0.09272509,0.091668667
Rep Entropy,0.173877551,0.137478992,0.172821128,0.18607443,0.21210084
SPECtrum,0.076398559,0.037118848,0.076782713,0.057959184,0.147178872
Lap Score,0.024153661,0.05939976,0.025786315,0.057767107,0.140456182
Mutual Corre,0.237743097,0.199903962,0.235630252,0.133157263,0.133157263
MICI,0.216038415,0.206914766,0.217190876,0.147082833,0.263193277
MDCM,0.070156062,0.051044418,0.071596639,0.13997599,0.12
Linear Depend,0.024729892,0.004753902,0.024729892,0.116830732,0.144393758
MPMR,0.144297719,0.123361345,0.142280912,0.123361345,0.200288115
MCFS,0.208355342,0.240048019,0.212388956,0.255702281,0.139591837
RSPCA,0.343673469,0.350876351,0.337623049,0.071020408,0.077070828
ANOVA F,0.085042017,0.049987995,0.085330132,0.156398559,0.09272509
ReliefF,0.205570228,0.164465786,0.200864346,0.083889556,0.042689076
Info Gain,0.015318127,0.019351741,0.016758703,0.078511405,0.067178872
MRMR,0.003409364,0.044321729,0.003793517,0.138151261,0.130468187
ERFS,0.308619448,0.348091236,0.315246098,0.218535414,0.097142857
Variance,0.170516206,0.137382953,0.203265306,0.263193277,0.237743097
Sim Entropy,0.110588235,0.101656663,0.090036014,0.154765906,0.131716687
Rep Entropy,0.227178872,0.195390156,0.242160864,0.112412965,0.10972389
SPECtrum,0.248307323,0.206434574,0.262040816,0.122496999,0.039519808
Lap Score,0.105594238,0.061416567,0.137863145,0.068715486,0.214981993
Mutual Corre,0.123361345,0.109531813,0.141032413,0.13939976,0.048259304
MICI,0.179255702,0.149963986,0.208739496,0.166866747,0.214789916
MDCM,0.28240096,0.248979592,0.297286915,0.061416567,0.079663866
Linear Depend,0.216710684,0.157070828,0.224585834,0.072268908,0.127106843
MPMR,0.270876351,0.249843938,0.283361345,0.007731092,0.041440576
MCFS,0.008403361,0.040288115,0.010420168,0.099735894,0.029051621
RSPCA,0.194045618,0.269339736,0.195390156,0.146986795,0.049891957
ANOVA F,0.085330132,0.132484994,0.083697479,0.006962785,0.086290516
ReliefF,0.100984394,0.108955582,0.101848739,0.095414166,0.130468187
Info Gain,0.212869148,0.230348139,0.215558223,0.19030012,0.128643457
MRMR,0.108859544,0.160528211,0.109243697,0.016278511,0.073229292
ERFS,0.217190876,0.249267707,0.225738295,0.083409364,0.042785114
