,SVM,randomfroest,logesticregression,knn,decisiontree
Variance,0.8107142857142857,0.8129047619047619,0.8090952380952381,0.7953333333333333,0.823
Sim Entropy,0.8132380952380952,0.8109047619047619,0.8081904761904762,0.797047619047619,0.823
Rep Entropy,0.813047619047619,0.8074285714285714,0.8088571428571428,0.797047619047619,0.823
Lap Score,0.8115238095238095,0.8096190476190476,0.8077142857142857,0.7918095238095239,0.823
SPECtrum,0.7928095238095239,0.7902857142857143,0.7867619047619048,0.761,0.7962857142857143
Mutual Corre,0.813047619047619,0.8094285714285714,0.8088571428571428,0.797047619047619,0.823
MICI,0.8188095238095238,0.8160952380952381,0.8083809523809524,0.794,0.8217619047619048
MDCM,0.8196666666666667,0.8164761904761905,0.8081904761904762,0.7951904761904762,0.8210952380952381
Linear Depend,0.814952380952381,0.8158571428571428,0.8094285714285714,0.7957619047619048,0.8223333333333334
MPMR,0.8151904761904762,0.8142857142857143,0.8091904761904762,0.7930952380952381,0.8228095238095238
MCFS,0.7847142857142857,0.7913333333333333,0.7850952380952381,0.7649047619047619,0.7913809523809524
RSPCA,0.810952380952381,0.8092380952380952,0.809,0.7945238095238095,0.8224761904761905
ANOVA F,0.8125238095238095,0.8122857142857143,0.808047619047619,0.7959047619047619,0.8214761904761905
ReliefF,0.8111428571428572,0.8096190476190476,0.808952380952381,0.7976666666666666,0.8224761904761905
Info Gain,0.8125238095238095,0.8116190476190476,0.808047619047619,0.7959047619047619,0.8214761904761905
MRMR,0.8113809523809524,0.8117619047619048,0.8069047619047619,0.7997142857142857,0.8213333333333334
ERFS,0.8149047619047619,0.816952380952381,0.8099047619047619,0.7959047619047619,0.8210952380952381
