Unnamed: 0,SVM,RFC,LRC,KNN,DST
Variance,0.092366536,0.094069628,0.0930617,0.130282367,0.021615391
Sim Entropy,0.512900254,0.372196879,0.367022961,0.47651748,0.592021548
Rep Entropy,0.196581136,0.237647059,0.049191137,0.120053784,0.209477158
SPECtrum,0.122059235,0.127971188,0.077196711,0.016327315,0.054710957
Lap Score,0.206543182,0.04,0.141478935,0.000192086,0.276917179
Mutual Corre,0.379766707,0.267515006,0.227382042,0.270793316,0.398011404
MICI,0.076262842,0.100216086,0.083968353,0.108720707,0.010759661
MDCM,0.187828077,0.173013205,0.097608373,0.192854399,0.208852713
Linear Depend,0.23531705,0.202208884,0.191347237,0.129417979,0.306410179
MPMR,0.066204078,0.415606242,0.037195659,0.052007299,0.098470116
MCFS,0.017699556,0.433661465,0.065588183,0.055560891,0.039051807
RSPCA,0.057886253,0.092244898,0.030327279,0.055032655,0.129740381
ANOVA F,0.860749729,0.557935174,0.729741092,0.70841337,0.878257362
ReliefF,0.203593256,0.008787515,0.251179525,0.120918171,0.115570292
Info Gain,0.827188275,0.549483794,0.695641041,0.637053401,0.877728986
MRMR,0.806006839,0.53517407,0.713876104,0.703179025,0.846170515
ERFS,0.793191587,0.457959184,0.681807545,0.742556666,0.848235985
Variance,0.186845362,0.164185555,0.2638961,0.00484994,0.096434459
Sim Entropy,0.072013825,0.222435651,0.033506018,0.072460984,0.038159943
Rep Entropy,0.264620293,0.070159432,0.264716852,0.303529412,0.2953185
SPECtrum,0.377596558,0.162936996,0.397582214,0.278367347,0.382321246
Lap Score,0.186210664,0.100412985,0.187276431,0.149867947,0.170203933
Mutual Corre,0.329603616,0.039713792,0.256412767,0.347322929,0.294981653
MICI,0.191727655,0.190309259,0.268096422,0.014069628,0.106684229
MDCM,0.388972301,0.118276988,0.366490174,0.392845138,0.37957835
Linear Depend,0.415824914,0.103294276,0.404244794,0.378247299,0.399500438
MPMR,0.391266979,0.25950826,0.369821464,0.370948379,0.35816451
MCFS,0.522063615,0.155493661,0.575057893,0.483313325,0.521054053
RSPCA,0.315396142,0.327746831,0.357317057,0.249939976,0.308022441
ANOVA F,0.948385459,0.477718018,0.948741722,0.902521008,0.953373005
ReliefF,0.630206409,0.043219362,0.623434016,0.575702281,0.623070546
Info Gain,0.88213274,0.583125241,0.865749151,0.855462185,0.896349634
MRMR,0.943014936,0.499231656,0.936092476,0.911260504,0.954527908
ERFS,0.939402039,0.575345756,0.919339467,0.91577431,0.938888587
Variance,0.018970776,0.04029005,0.151917585,0.091393719,0.120650323
Sim Entropy,0.28393728,0.464848253,0.274200914,0.421045053,0.310367193
Rep Entropy,0.079725285,0.302295429,0.037703226,0.133224475,0.119401554
SPECtrum,0.390653897,0.159047253,0.497586525,0.350638751,0.463677636
Lap Score,0.199841513,0.176190934,0.338176325,0.021803862,0.165173751
Mutual Corre,0.228898017,0.408903189,0.244902866,0.331716457,0.315074093
MICI,0.002545446,0.028572801,0.133378164,0.083085199,0.109651548
MDCM,0.028143986,0.187524011,0.07559857,0.039237346,0.037174901
