,KNN,AGG,SPEC,DBscan,BRICH
Variance,0.7894735387811901,0.5333332711111182,0.921874949584964,0.0,0.5517240713436465
Sim Entropy,0.8421051080332679,0.6333332594444527,0.999999945312503,0.0,0.5862068258026248
Rep Entropy,0.8947366772853478,0.5333332711111182,0.9843749461669956,0.0,0.5172413168846682
Lap Score,0.8947366772853478,0.5999999300000087,1.0,0.0,0.10344826337693365
SPECtrum,0.5263156925207927,0.23333330611111444,0.06249999658203159,0.0,0.5862068258026248
Mutual Corre,0.8421051080332679,0.6999999183333433,0.9374999487304714,0.0,0.6896550891795585
MICI,0.5789472617728726,0.2666666355555597,0.06249999658203159,0.0,0.6206895802616033
MDCM,0.2105262770083175,0.0,0.06249999658203159,0.0,0.8275861070154705
Linear Depend,0.2631578462603974,0.23333330611111444,0.07812499572753903,0.0,0.2068965267538673
MPMR,0.7368419695291102,0.3666666238888943,1.0,0.0,0.5172413168846682
MCFS,0.8421051080332679,0.666666588888898,0.12499999316406318,0.0,0.6896550891795585
RSPCA,0.7368419695291102,0.7333332477777873,1.0,0.0,0.7241378436385368
