Unnamed: 0,KMS,AGC,SPC,DBC,BIR
Variance,0.033690128,0.007389285,0.055899433,,0.253489535
Sim Entropy,0.079705913,0.022167854,0.018085111,,0.233801027
Rep Entropy,0.132295381,0.092776573,0.064119938,,0.156687706
SPECtrum,0.271986156,0.230709886,0.241682842,,0.000820354
Lap Score,0.124078277,0.013957538,0.077272745,,0.022149571
Mutual Corre,0.027116445,0.007389285,0.105222462,,0.246926699
MICI,0.094496701,0.133828154,0.037814322,,0.002461063
MDCM,0.09285328,0.063219435,0.075628644,,0.202627557
Linear Depend,0.040263812,0.005747221,0.184139308,,0.258411662
MPMR,0.010682236,0.004105158,0.244971044,,0.031993825
MCFS,0.096140122,0.100986889,0.124951673,,0.2288789
RSPCA,0.201319058,0.191300368,0.037814322,,0.171454087
Variance,0.372183527,0.086351049,0.31635852,,0.259767952
Sim Entropy,0.263492762,0.007401519,0.189815112,,0.159477794
Rep Entropy,0.385358165,0.056744975,0.308141415,,0.172630601
SPECtrum,0.375477186,0.061679321,0.248978264,,0.039458423
Lap Score,0.087281978,0.020559774,0.11093091,,0.180851106
Mutual Corre,0.286548379,0.004111955,0.181598007,,0.174274702
MICI,0.00329366,0.066613667,0.086279596,,0.384719626
MDCM,0.311250826,0.018914992,0.214466425,,0.133172178
Linear Depend,0.07246051,0.030428465,0.119148014,,0.083849149
MPMR,0.118571743,0.086351049,0.229257213,,0.052611231
MCFS,0.174563955,0.055100193,0.064915125,,0.052611231
RSPCA,0.395239144,0.147207979,0.393599301,,0.267988457
Variance,0.152782611,0.160233536,0.230747898,,0.116634657
Sim Entropy,0.02989225,0.043550653,0.049445978,,0.059138699
Rep Entropy,0.290619097,0.214466425,0.268656481,,0.21027093
SPECtrum,0.245780722,0.225970371,0.186246518,,0.261195921
Lap Score,0.034874292,0.002465131,0.156578931,,0.047639508
Mutual Corre,0.162746694,0.147086169,0.194487514,,0.157703198
MICI,0.063105861,0.033690128,0.054390576,,0.10020724
MDCM,0.274012291,0.181598007,0.286786673,,0.22012738
Linear Depend,0.127872403,0.082992755,0.197783912,,0.083779824
MPMR,0.044838375,0.013969077,0.149986134,,0.182344322
MCFS,0.195960305,0.294994048,0.06757617,,0.151132231
RSPCA,0.214227791,0.237474317,0.263711883,,0.256267696
Variance,0.19896995,0.180103793,0.244640644,,0.004118785
Sim Entropy,0.043472426,0.018175612,0.193224645,,0.037069067
Rep Entropy,0.367843605,0.190017763,0.445328902,,0.05848675
SPECtrum,0.387907802,0.20323639,0.397230063,,0.126034828
Lap Score,0.001672016,0.003304657,0.075465419,,0.004118785
Mutual Corre,0.267522622,0.08096409,0.359082709,,0.020593926
MICI,0.137105344,0.004956985,0.153418709,,0.028831497
MDCM,0.401283933,0.198279405,0.405522967,,0.109559687
Linear Depend,0.252474475,0.127229285,0.186590322,,0.027183982
MPMR,0.143793409,0.004956985,0.062196774,,0.005766299
MCFS,0.175561721,0.021480269,0.209810451,,0.020593926
RSPCA,0.364499573,0.206541047,0.377327096,,0.150747539
Variance,0.392919748,0.218656505,0.304232697,,0.234018421
Sim Entropy,0.21606415,0.084480922,0.225882358,,0.095772663
Rep Entropy,0.452983913,0.303137427,0.359244636,,0.283986767
SPECtrum,0.391251299,0.217000016,0.317568924,,0.209034248
Lap Score,0.114288759,0.057977104,0.064180596,,0.02748259
Mutual Corre,0.331187134,0.218656505,0.295897554,,0.159065902
MICI,0.04254545,0.178900777,0.194208817,,0.007495252
MDCM,0.464663056,0.323015291,0.339240295,,0.285652378
Linear Depend,0.311165745,0.207061084,0.185873675,,0.207368636
MPMR,0.297818153,0.218656505,0.290896469,,0.154069067
MCFS,0.239422437,0.22528246,0.122526593,,0.199040578
RSPCA,0.386245952,0.13748856,0.284228355,,0.197374967
Variance,0.129415176,0.127095746,0.235422744,,0.191566064
Sim Entropy,0.11104657,0.133741275,0.216991071,,0.183273161
Rep Entropy,0.27636402,0.183582744,0.30914944,,0.238006322
SPECtrum,0.384905781,0.250038036,0.444873585,,0.269519354
Lap Score,0.0592805,0.213487625,0.066186466,,0.189907483
Mutual Corre,0.179511373,0.155339245,0.277312912,,0.198200387
MICI,0.004174683,0.080577041,0.074564499,,0.10366129
MDCM,0.303081992,0.161984774,0.356066428,,0.25956787
Linear Depend,0.222928077,0.125434364,0.233747138,,0.236347741
MPMR,0.256325542,0.19521242,0.354390822,,0.242982064
MCFS,0.034232401,0.039042484,0.037701151,,0.082099742
RSPCA,0.304751865,0.196873802,0.376173709,,0.203176128
Variance,0.230712692,0.005844556,0.129411765,,0.003329809
Sim Entropy,0.142822143,0.034232401,0.142857143,,0.119873118
Rep Entropy,0.303391416,0.099357457,0.178151261,,0.016649044
