Unnamed: 0,KMS,AGC,SPC,DBC,BIR
Variance,0.016765951,0.048136054,0.094114832,,0.349937574
Sim Entropy,0.080707156,0.028343585,0.026471298,,0.342347987
Rep Entropy,0.156514234,0.135472726,0.064472743,,0.239552324
SPECtrum,0.382590351,0.34680057,0.327312072,,0.003170334
Lap Score,0.169244828,0.006965796,0.108527517,,0.025122492
Mutual Corre,0.015997311,0.0004804,0.162527043,,0.376308985
MICI,0.161414312,0.220551519,0.078212836,,0.003746758
MDCM,0.113374338,0.103141824,0.1254384,,0.308627167
Linear Depend,0.079890476,0.021858188,0.25486431,,0.374579712
MPMR,0.011145274,0.004419678,0.359164106,,0.045057165
MCFS,0.137634525,0.155024995,0.19024744,,0.32649632
RSPCA,0.296742918,0.263307096,0.054527991,,0.275963124
Variance,0.530786883,0.120835053,0.465795585,,0.396252748
Sim Entropy,0.389958028,0.019938985,0.27512493,,0.269036783
Rep Entropy,0.551976076,0.071251843,0.449317874,,0.262310864
SPECtrum,0.560240341,0.10392295,0.375192195,,0.0513572
Lap Score,0.151303331,0.041271297,0.137346285,,0.282969045
Mutual Corre,0.40821629,0.018737841,0.261145297,,0.27590683
MICI,0.019123127,0.10743029,0.137730605,,0.568436289
MDCM,0.461934017,0.04857425,0.324558063,,0.204275786
Linear Depend,0.125309332,0.054387785,0.178708702,,0.12880136
MPMR,0.17777781,0.127849732,0.327488501,,0.084890714
MCFS,0.241777821,0.104883865,0.103093784,,0.085082883
RSPCA,0.567351454,0.204338561,0.555630336,,0.402546287
Variance,0.221672076,0.246252905,0.338731467,,0.173367933
Sim Entropy,0.03693733,0.066439284,0.070110542,,0.089686321
Rep Entropy,0.397172489,0.307551912,0.390052961,,0.300859896
SPECtrum,0.339265529,0.330370899,0.266987095,,0.370418435
Lap Score,0.05939792,0.01835127,0.224939991,,0.064130283
Mutual Corre,0.223595895,0.202968889,0.283421506,,0.228851436
MICI,0.092728089,0.034973101,0.085728038,,0.156650826
MDCM,0.387793871,0.262730616,0.409514763,,0.30696068
Linear Depend,0.18459046,0.103958503,0.279673307,,0.11932556
MPMR,0.040833064,0.022963107,0.20562235,,0.23144547
MCFS,0.286841454,0.394504264,0.091878928,,0.223134954
RSPCA,0.300548666,0.328257141,0.381787701,,0.366575422
Variance,0.319783398,0.260190481,0.357564072,,0.011724571
Sim Entropy,0.054059424,0.013218619,0.262822818,,0.06251503
Rep Entropy,0.491733766,0.255575981,0.620723534,,0.094613447
SPECtrum,0.552869535,0.26941948,0.579508684,,0.185863287
Lap Score,0.022528772,0.002066911,0.123259814,,0.010138871
Mutual Corre,0.368643875,0.119544379,0.521124988,,0.03820096
MICI,0.199966918,0.012882145,0.234304258,,0.007207728
MDCM,0.572124896,0.285185687,0.563301678,,0.153909025
Linear Depend,0.360460347,0.184195441,0.293313151,,0.0442074
MPMR,0.191398282,0.001778505,0.088777845,,0.010571335
MCFS,0.242569403,0.029032893,0.308221673,,0.037047724
RSPCA,0.509641251,0.272591948,0.571284951,,0.22257465
Variance,0.545556637,0.31179408,0.41396668,,0.343641856
Sim Entropy,0.295327351,0.14467053,0.361270387,,0.119312067
Rep Entropy,0.620110429,0.445598694,0.542603385,,0.408519898
SPECtrum,0.54079174,0.348382406,0.487789615,,0.308459475
Lap Score,0.177167533,0.082359793,0.116028094,,0.042353618
Mutual Corre,0.462868829,0.359777193,0.443418855,,0.261196688
MICI,0.042835942,0.265734137,0.277293189,,0.007700658
MDCM,0.634308859,0.485456411,0.530235396,,0.411022612
Linear Depend,0.467248684,0.30583225,0.254963435,,0.288197119
MPMR,0.422583791,0.325112038,0.433072094,,0.214703966
MCFS,0.343120712,0.312707586,0.186049196,,0.291566157
RSPCA,0.504116473,0.205058096,0.445488207,,0.305090437
Variance,0.181647968,0.199259581,0.331745536,,0.251960093
Sim Entropy,0.154845871,0.217535865,0.318261903,,0.278122774
Rep Entropy,0.391685951,0.281839524,0.419967023,,0.370750211
SPECtrum,0.528583559,0.371537598,0.605655917,,0.409801861
Lap Score,0.080550649,0.305694883,0.110758417,,0.275092905
Mutual Corre,0.253056071,0.254232717,0.403256949,,0.283797768
MICI,0.000481187,0.146306456,0.088847513,,0.13644031
MDCM,0.438024227,0.249567456,0.490900566,,0.380994055
Linear Depend,0.320759035,0.19608528,0.321584655,,0.334632244
MPMR,0.373689569,0.288813369,0.515989755,,0.327177803
MCFS,0.061495657,0.051077402,0.061013441,,0.135478446
RSPCA,0.442114314,0.282897624,0.524609649,,0.270091216
Variance,0.335666952,0.010542819,0.190846665,,0.010535956
Sim Entropy,0.201081912,0.047563036,0.210890142,,0.182334584
Rep Entropy,0.441030017,0.156120369,0.262444278,,0.008563471
SPECtrum,0.458630712,0.193910837,0.380344249,,0.062157331
Lap Score,0.028595102,0.023781518,0.09096655,,0.0425287
Mutual Corre,0.36228499,0.159056953,0.252037088,,0.085779041
