Unnamed: 0,KMS,AGC,SPC,DBC,BIR
Variance,0.078399353,0.050757474,0.008986931,0.190359541,0.046530612
Sim Entropy,0.089832592,0.119525665,0.167483716,0.035130731,0.126530612
Rep Entropy,0.035933037,0.009824027,0.028594781,0.084150355,0.031836735
SPECtrum,0.328297292,0.293083479,0.309640626,0.191993528,0.201632653
Lap Score,0.168231945,0.165371125,0.268790939,0.097222255,0.253877551
Mutual Corre,0.151898747,0.167008463,0.126634029,0.040032693,0.134693878
MICI,0.019372826,0.042540106,0.011074711,0.059065125,0.022131333
MDCM,0.151898747,0.167008463,0.126634029,0.040032693,0.134693878
Linear Depend,0.243364659,0.209579248,0.286764802,0.062908518,0.319183673
MPMR,0.027766438,0.011461365,0.053104593,0.036764718,0.007346939
MCFS,0.184565144,0.194843207,0.250817077,0.004084969,0.147755102
RSPCA,0.215598221,0.206304572,0.265522964,0.102124217,0.297959184
Variance,0.220678548,0.111247676,0.127398949,0.131643676,0.131746217
Sim Entropy,0.217409236,0.112883672,0.160065346,0.300082167,0.02900074
Rep Entropy,0.049039677,0.062167819,0.060432835,0.295176192,0.136717772
SPECtrum,0.294238063,0.289571158,0.163331986,0.02534754,0.161575549
Lap Score,0.134041784,0.127607629,0.083299313,0.059689368,0.027343554
Mutual Corre,0.168369558,0.101431705,0.107799111,0.27882294,0.062144442
MICI,0.052950438,0.043113618,0.006277121,0.027832807,0.042762204
MDCM,0.150388344,0.086707748,0.093099232,0.286999566,0.085345033
Linear Depend,0.305680655,0.317383077,0.251531258,0.004088313,0.239463249
MPMR,0.042501054,0.089979738,0.052266235,0.277187615,0.090316589
MCFS,0.001634656,0.014723957,0.052266235,0.112019774,0.138374957
RSPCA,0.289334096,0.346830991,0.277664376,0.023712215,0.275921322
Variance,0.021285392,0.125000042,0.201797453,0.00489996,0.162497183
Sim Entropy,0.163733787,0.08741833,0.21650334,0.23519806,0.149366097
Rep Entropy,0.026197406,0.115196117,0.283496827,0.122498989,0.059089885
SPECtrum,0.126075016,0.129902004,0.077614405,0.238464699,0.044317413
Lap Score,0.013098703,0.030228768,0.049836618,0.009799919,0.113255612
Mutual Corre,0.091690921,0.023692818,0.159313779,0.169865265,0.096841755
MICI,0.095731398,0.130275692,0.095535508,0.03646229,0.075902014
MDCM,0.027834744,0.026960793,0.141339916,0.135565548,0.045958799
Linear Depend,0.150635084,0.272058914,0.165849729,0.109432431,0.152648869
MPMR,0.034384095,0.121732067,0.321078539,0.080032673,0.124745312
MCFS,0.014736041,0.116830104,0.041666681,0.145365467,0.246207853
RSPCA,0.193205869,0.334150438,0.257353027,0.127398949,0.193683511
Variance,0.103322084,0.063803814,0.047405021,0.039199677,0.069052241
Sim Entropy,0.091841852,0.116155662,0.109521946,0.016333199,0.138104481
Rep Entropy,0.006560132,0.06543981,0.225582515,0.089832592,0.021373313
SPECtrum,0.147602977,0.155419548,0.124233849,0.356063729,0.044390726
