Unnamed: 0,KMS,AGC,SPC,DBC,BIR
Variance,0.121539533,0.101678636,0.038897426,0.291298502,0.084369748
Sim Entropy,0.152128503,0.193511207,0.259124088,0.063484441,0.203937575
Rep Entropy,0.05464717,0.016810356,0.034239339,0.137533615,0.062953181
SPECtrum,0.495522102,0.458010145,0.448136766,0.291202459,0.303817527
Lap Score,0.267425388,0.278763725,0.385516712,0.147906262,0.393901561
Mutual Corre,0.18242935,0.20830432,0.181233193,0.057145601,0.172533013
MICI,0.026630061,0.044804528,0.022472747,0.092811456,0.023758592
MDCM,0.18242935,0.20830432,0.181233193,0.057145601,0.172533013
Linear Depend,0.357415544,0.310271134,0.412120631,0.153908951,0.469963986
MPMR,0.032461764,0.026464303,0.086054553,0.073184787,0.025690276
MCFS,0.273475954,0.312528525,0.368084902,0.019112562,0.240336134
RSPCA,0.33158059,0.296966939,0.384700346,0.195447561,0.466122449
Variance,0.321463732,0.16222836,0.175418377,0.184843683,0.213188117
Sim Entropy,0.331020242,0.181438349,0.224399145,0.45358498,0.045755337
Rep Entropy,0.096045334,0.087645576,0.079137554,0.423474045,0.217085259
SPECtrum,0.414867819,0.403409776,0.245191961,0.047927772,0.233251183
Lap Score,0.195212141,0.166070358,0.12917477,0.077126255,0.035459183
Mutual Corre,0.248709391,0.174474728,0.154961704,0.41372521,0.107243582
MICI,0.063409316,0.05134435,0.019660859,0.04686995,0.069044063
MDCM,0.219703701,0.125873455,0.122788062,0.416990829,0.146648021
Linear Depend,0.449444139,0.46910794,0.355302648,0.009988955,0.361953104
MPMR,0.089610296,0.139464523,0.075151864,0.409787256,0.136159416
MCFS,0.008932216,0.028142634,0.076304353,0.151803295,0.23421344
RSPCA,0.442720965,0.523328134,0.38752431,4.80E-05,0.394862305
Variance,0.040727134,0.174750288,0.283422974,0.004417873,0.227277116
Sim Entropy,0.253247848,0.103150211,0.307001537,0.334605873,0.22002308
Rep Entropy,0.024157722,0.172637342,0.407894737,0.178635742,0.082244435
SPECtrum,0.206517305,0.206348444,0.129706108,0.317798747,0.065574564
Lap Score,0.043512716,0.044900115,0.074721475,0.019352205,0.1827921
Mutual Corre,0.15503206,0.050374568,0.221187092,0.230545751,0.131677568
MICI,0.130050389,0.192785945,0.131319368,0.065779292,0.109135417
MDCM,0.046874625,0.037168652,0.212014983,0.188335854,0.058512688
Linear Depend,0.235813946,0.397906262,0.229542835,0.165574204,0.209166046
MPMR,0.05508729,0.18430657,0.457308875,0.111599318,0.18298426
MCFS,0.023965613,0.184402613,0.068382635,0.195202766,0.350547688
RSPCA,0.294023009,0.471331157,0.354494814,0.178059497,0.272242531
Variance,0.141131269,0.08169048,0.09220352,0.065115609,0.087587397
Sim Entropy,0.138393188,0.156081163,0.167214926,0.010564479,0.218175737
Rep Entropy,0.01541972,0.114971786,0.333517421,0.135369397,0.052273773
SPECtrum,0.237588583,0.214959781,0.19141835,0.503781604,0.091671285
Lap Score,0.11096434,0.006051147,0.012389848,0.002593099,0.008792372
Mutual Corre,0.084159967,0.021659263,0.21158787,0.058969003,0.058952131
MICI,0.015720447,0.074931759,0.017319581,0.098336946,0.001135447
MDCM,0.026083825,0.111321888,0.250678321,0.113520133,0.056790073
Linear Depend,0.261895057,0.303709931,0.401613563,0.288842469,0.159656017
MPMR,0.046307196,0.008836595,0.252503182,0.003073303,0.107045924
MCFS,0.275537426,0.399135553,0.246932553,0.134216908,0.417901906
RSPCA,0.331403888,0.411622046,0.536605279,0.184494226,0.200879268
Variance,0.099492966,0.238017484,0.427669332,0.23971764,0.098256882
Sim Entropy,0.284203821,0.188022286,0.003457466,0.045043098,0.162172021
Rep Entropy,0.130206012,0.211795219,0.253403443,0.089798074,0.006357798
SPECtrum,0.550816132,0.396023441,0.231890322,0.30358472,0.018543578
Lap Score,0.037153654,0.17049275,0.251818771,0.183869961,0.187410554
Mutual Corre,0.192208875,0.030976852,0.066172057,0.112511705,0.016809633
MICI,0.308294222,0.126108641,0.104467069,0.268522116,0.125548542
MDCM,0.000144193,0.155700703,0.200869169,0.112559725,0.059532111
Linear Depend,0.468049519,0.362453178,0.328459267,0.081778674,0.076197249
MPMR,0.12530346,0.069253675,0.106941343,0.120242983,0.171130737
MCFS,0.505972201,0.458265301,0.240533986,0.151888401,0.39143808
RSPCA,0.680493438,0.641821157,0.495906264,0.019784389,0.150178902
Variance,0.531418831,0.170484561,0.357890696,0.065739874,0.011928829
Sim Entropy,0.198477682,0.075973683,0.244116802,0.127157915,0.367244388
Rep Entropy,0.067135688,0.234644385,0.39578331,0.058056616,0.096969834
SPECtrum,0.232285639,0.118714883,0.00211315,0.37283008,0.244492891
Lap Score,0.106898456,0.103491332,0.082556912,0.085764364,0.361568574
Mutual Corre,0.058251495,0.101234213,0.345644034,0.050757521,0.259211527
MICI,0.252654075,0.187008685,0.117394512,0.273647903,0.122295278
MDCM,0.136288328,0.323680547,0.406541163,0.013973925,0.097595136
Linear Depend,0.286071026,0.285693705,0.048122179,0.04393863,0.131409518
MPMR,0.130621654,0.292849255,0.357794644,0.139739249,0.1241945
MCFS,0.0612289,0.0417327,0.211747193,0.286633533,0.023472857
RSPCA,0.331068265,0.397973397,0.35039862,0.022233427,0.134199324
Variance,0.370975101,0.102290737,0.411037209,0.071215905,0.055259047
Sim Entropy,0.15612169,0.028189982,0.217958267,0.07486554,0.104602634
Rep Entropy,0.222681106,0.156653701,0.172762426,0.026699962,0.047900793
SPECtrum,0.060604606,0.335350335,0.406426368,0.359248944,0.096859635
Lap Score,0.263596418,0.274552179,0.396724391,0.099020361,0.081710288
Mutual Corre,0.002449156,0.037890794,0.140726691,0.121638494,0.018034937
MICI,0.071447437,0.000473173,0.189815053,0.098166272,0.07075425
MDCM,0.330059789,0.23056236,0.119161406,0.030349597,0.124320832
Linear Depend,0.125915432,0.272102964,0.407819226,0.017479831,0.109267671
MPMR,0.341489184,0.229313741,0.081842417,0.018008068,0.191795543
MCFS,0.038706269,0.091197234,0.001633006,0.202602766,0.133025695
RSPCA,0.191946599,0.468568412,0.396436214,0.04379562,0.011013335
Variance,0.169737464,0.009796389,0.486155483,0.19652763,0.087986568
Sim Entropy,0.048908219,0.219938533,0.396292125,0.099320415,0.193512785
Rep Entropy,0.285666279,0.419227815,0.242021091,0.070936293,0.055550231
SPECtrum,0.000240217,0.173981944,0.391152959,0.421103193,0.221143738
Lap Score,0.17569485,0.056089128,0.236353599,0.241961438,0.133733817
Mutual Corre,0.165605729,0.304216289,0.327561786,0.112864108,0.090100936
MICI,0.203091451,0.186009496,0.42598408,0.314236717,0.063611425
MDCM,0.330875153,0.457020746,0.233663942,0.06392431,0.025516585
Linear Depend,0.050541696,0.13959854,0.430393132,0.202771177,0.155550257
MPMR,0.329818198,0.453851326,0.235441037,0.082751004,0.006246998
MCFS,0.004660213,0.040530158,0.226795711,0.403381126,0.014752527
RSPCA,0.251555438,0.466769113,0.440239198,0.225824271,0.039163874
Variance,0.058730311,0.121328566,0.180288281,0.235424073,0.11401385
Sim Entropy,0.057193623,0.133240476,0.363242115,0.091441745,0.099786152
Rep Entropy,0.287648867,0.010567017,0.251967413,0.230957643,0.029224461
SPECtrum,0.070639647,0.379596065,0.267330688,0.357986749,0.126030487
Lap Score,0.133307722,0.040779079,0.367361606,0.171597351,0.218270192
Mutual Corre,0.169179793,0.10494969,0.290205975,0.161655943,0.058977654
MICI,0.234373927,0.073916989,0.085983433,0.080231667,0.135257863
MDCM,0.314973108,0.010807176,0.225118029,0.227980023,0.061765513
Linear Depend,0.081396466,0.274598343,0.233744726,0.158390166,0.155158815
MPMR,0.323184787,0.014841856,0.215958221,0.203870908,0.081568931
