,KNN,AGG,SPEC,DBscan,BIRCH
Variance,0.9714285173061256,0.5102040613286138,0.6461538267692313,0.0,0.47727270612086903
Sim Entropy,0.542857112612247,0.6734693609537702,0.3692307581538465,0.0,0.09090908688016565
Rep Entropy,0.457142831673471,0.6734693609537702,0.46153844769230806,0.0,0.9999999556818202
Lap Score,0.05714285395918426,0.24489794943773469,0.7692307461538467,0.0,0.6590908798811999
SPECtrum,0.9999999442857174,0.7551020107663485,0.38461537307692334,0.0,0.9999999556818202
Mutual Corre,0.457142831673471,0.24489794943773469,0.4461538327692312,0.0,0.9999999556818202
MICI,0.7142856744897986,0.7551020107663485,0.6461538267692313,0.0,0.5454545212809929
MDCM,0.8857142363673495,0.8979591479383604,0.8153845909230777,0.0,0.8409090536415307
Linear Depend,1.0,0.8979591479383604,0.5999999820000004,0.0,0.1818181737603313
MPMR,0.4857142586530628,0.26530611189087916,0.476923062615385,0.0,0.6590908798811999
MCFS,0.2571428428163276,0.4693877364223249,0.5846153670769235,0.0,0.9999999556818202
RSPCA,1.0,1.0,0.8461538207692314,0.0,0.7272726950413237
