,KNN,AGG,SPEC,DBscan,BIRCH
Variance,0.5128205128205128,0.6410256410256411,0.7025641025641025,0.7538461538461538,0.6410256410256411
Sim Entropy,0.6410256410256411,0.6820512820512821,0.7282051282051282,0.7538461538461538,0.6820512820512821
Rep Entropy,0.6,0.6564102564102564,0.7025641025641025,0.7538461538461538,0.6923076923076923
Lap Score,0.5230769230769231,0.6871794871794872,0.6820512820512821,0.7538461538461538,0.6512820512820513
SPECtrum,0.6051282051282051,0.5128205128205128,0.6923076923076923,0.7538461538461538,0.6974358974358974
Mutual Corre,0.6,0.6564102564102564,0.7025641025641025,0.7538461538461538,0.6923076923076923
MICI,0.5128205128205128,0.6410256410256411,0.7025641025641025,0.7538461538461538,0.6410256410256411
MDCM,0.5692307692307692,0.5282051282051282,0.6974358974358974,0.7538461538461538,0.6820512820512821
Linear Depend,0.5692307692307692,0.5282051282051282,0.6974358974358974,0.7538461538461538,0.6820512820512821
MPMR,0.5230769230769231,0.6512820512820513,0.6923076923076923,0.7538461538461538,0.6820512820512821
MCFS,0.5230769230769231,0.5128205128205128,0.6923076923076923,0.7538461538461538,0.6974358974358974
RSPCA,0.5282051282051282,0.5333333333333333,0.6974358974358974,0.7538461538461538,0.7128205128205128
