Unnamed: 0,KMS,AGC,SPC,DBC,BIR
Variance,0.332997054,0.35823634,0.054311279,0.330726792,0.130512202
Sim Entropy,0.38223734,0.247843413,0.016245321,0.195048306,0.205204724
Rep Entropy,0.299480961,0.359485889,0.177352761,0.142107421,0.283092649
SPECtrum,0.110117437,0.14206421,0.238200618,0.105210923,0.106796327
Lap Score,0.221388944,0.195650676,0.236230032,0.129249551,0.173849842
Mutual Corre,0.310396532,0.316376419,0.107420981,0.20130953,0.096461199
MICI,0.064724048,0.22352525,0.076708674,0.102024408,0.379154422
MDCM,0.230573411,0.271632921,0.025185053,0.129808589,0.186281953
Linear Depend,0.036593611,0.171380572,0.024896675,0.155636137,0.36053122
MPMR,0.000144259,0.083575663,0.010573877,0.114714567,0.3989759
MCFS,0.003991156,0.083431485,0.189320467,0.02761647,0.118679228
RSPCA,0.02034047,0.169073711,0.01763915,0.181910916,0.517854841
Variance,0.270652202,0.247467578,0.187563129,0.174114949,0.046195034
Sim Entropy,0.204190555,0.119955107,0.092700301,0.170951078,0.049178463
Rep Entropy,0.265654363,0.135840012,0.082512399,0.200140337,0.047013071
SPECtrum,0.484502041,0.241161751,0.096640905,0.266785742,0.37321738
Lap Score,0.072564777,0.081398108,0.472872455,0.368846087,0.240647256
Mutual Corre,0.223124676,0.146285541,0.034264031,0.226165725,0.05293181
MICI,0.145321779,0.157934472,0.235715385,0.138700009,0.006640536
MDCM,0.333749918,0.30205389,0.018789952,0.079505009,0.06958127
Linear Depend,0.19640546,0.069652905,0.125714872,0.221164768,0.149604543
MPMR,0.142678691,0.170834941,0.038492971,0.114205526,0.141568532
MCFS,0.009851509,0.12813824,0.147340137,0.096957328,0.010586362
RSPCA,0.024412521,0.065705747,0.02056803,0.235147035,0.223179759
Variance,0.083259347,0.062664652,0.082470292,0.062083463,0.134624814
Sim Entropy,0.086772602,0.228388556,0.328727739,0.060952102,0.032415921
Rep Entropy,0.312824134,0.127594873,0.042244398,0.009192312,0.03607656
SPECtrum,0.4322267,0.023282329,0.031527105,0.131803617,0.162753934
Lap Score,0.116707466,0.093514943,0.389186729,0.05204263,0.043157007
Mutual Corre,0.315952376,0.066569142,0.087997148,0.015556221,0.056017409
MICI,0.118728791,0.024873047,0.052817512,0.062083463,0.107507186
MDCM,0.27345642,0.213879279,0.07785657,0.023475751,0.053079265
Linear Depend,0.253339422,0.151070016,0.026913382,0.005091127,0.056547238
MPMR,0.293669672,0.085705963,0.162970141,0.086973417,0.088144333
MCFS,0.03777953,0.07394429,0.238760147,0.08951898,0.213906547
RSPCA,0.078446668,0.090237099,0.09381236,0.001555622,0.086458512
Variance,0.044482964,0.115532118,0.117536849,,0.01909826
Sim Entropy,0.187742153,0.091808495,0.179092329,,0.004496552
Rep Entropy,0.134699224,0.109119025,0.343913012,,0.136830571
SPECtrum,0.373416449,0.33675973,0.096537829,,0.433457975
Lap Score,0.334175261,0.017503405,0.605992315,,0.113477509
Mutual Corre,0.151290167,0.096051744,0.345739014,,0.110576507
MICI,0.154993073,0.087999214,0.217005891,,0.018227959
MDCM,0.026112702,0.030715342,0.214411046,,0.009379905
Linear Depend,0.021111374,0.006364875,0.398645012,,0.056859629
MPMR,0.12912082,0.055114028,0.354052127,,0.054103678
MCFS,0.084782125,0.098655557,0.114173161,,0.133494419
RSPCA,0.145038507,0.097305432,0.363566557,,0.068318585
Variance,0.075174272,0.048501278,0.427771543,,0.013858844
Sim Entropy,0.160538406,0.045758646,0.637181307,,0.271883579
Rep Entropy,0.106801299,0.007458034,0.195789225,,0.075598071
SPECtrum,0.186109194,0.087812333,0.092022861,,0.206679641
Lap Score,0.14746462,0.066881722,0.598244855,,0.137577903
Mutual Corre,0.072194217,0.024491221,0.417135009,,0.040806597
MICI,0.05349678,0.040947011,0.478788401,,0.00635197
MDCM,0.018360979,0.160708599,0.006834334,,0.246620061
Linear Depend,0.222350499,0.007939197,0.080279358,,0.113228684
MPMR,0.076568168,0.030698229,0.166430467,,0.038063701
MCFS,0.511031238,0.009911968,0.199832071,,0.251576523
RSPCA,0.466955275,0.044363272,0.077728515,,0.04431943
Variance,0.099689862,0.011058131,0.018208182,,0.210732885
Sim Entropy,0.174120468,0.041017386,0.14648434,,0.204106674
Rep Entropy,0.241863386,0.139225285,0.132804119,,0.19806086
SPECtrum,0.461306175,0.166359114,0.038054136,,0.219293758
Lap Score,0.168154473,0.021190692,0.251831678,,0.047495913
Mutual Corre,0.325579776,0.099815468,0.217582955,,0.276076041
MICI,0.108253952,0.044670954,0.029865272,,0.193514408
MDCM,0.175371403,0.013591272,0.047061888,,0.184663336
Linear Depend,0.161803574,0.055485514,0.075385726,,0.102391902
MPMR,0.113931271,0.002630569,0.016955767,,0.153080005
MCFS,0.343622101,0.183652668,0.192293813,,0.242654782
RSPCA,0.22213711,0.029569541,0.025915349,,0.089478044
Variance,0.011642753,0.001961848,0.225401129,,0.163575661
Sim Entropy,0.125135537,0.029623912,0.249525454,,0.032496501
Rep Entropy,0.044646589,0.113640073,0.150716841,,0.103452165
SPECtrum,0.382623192,0.213547206,0.165499611,,0.057042788
Lap Score,0.170551894,0.002059941,0.284869275,,0.11736504
Mutual Corre,0.00086599,0.132571911,0.109257672,,0.062707316
MICI,0.025306149,0.012506784,0.177778459,,0.191252345
MDCM,0.193308184,0.072588393,0.261033864,,0.214357655
Linear Depend,0.167617151,0.051645661,0.169014732,,0.105737851
MPMR,0.068076426,0.095002512,0.091056085,,0.125166188
MCFS,0.2631647,0.294914872,0.169688865,,0.100073323
RSPCA,0.428616877,0.123792639,0.02094627,,0.023651888
Variance,0.072869921,0.199843511,0.257054257,,0.007190214
Sim Entropy,0.057045364,0.017874202,0.04965437,,0.105057023
Rep Entropy,0.176907966,0.245422727,0.212370149,,0.028211605
SPECtrum,0.543422022,0.166627285,0.14013245,,0.078842699
Lap Score,0.216445309,0.149895046,0.027215806,,0.176959168
Mutual Corre,0.13655294,0.28464667,0.135210443,,0.033604266
MICI,0.072196535,0.202822545,0.25136017,,0.012782604
MDCM,0.051562082,0.011369979,0.13984292,,0.051230278
Linear Depend,0.124287706,0.178344818,0.222214164,,0.04883354
MPMR,0.225920804,0.240805224,0.205228413,,0.073200378
MCFS,0.179986299,0.268162684,0.250636345,,0.042042782
RSPCA,0.212501194,0.048359647,0.188146151,,0.049133132
Variance,0.230821722,0.095456365,0.074525995,,0.130259282
Sim Entropy,0.227396782,0.360822088,0.015286131,,0.017947291
Rep Entropy,0.314515701,0.172336634,0.140798455,,0.231720617
SPECtrum,0.348138009,0.222071035,0.040876971,,0.071686316
Lap Score,0.607227553,0.112150083,0.318469208,,0.053173351
Mutual Corre,0.246402792,0.098577149,0.174349804,,0.286796689
MICI,0.232799505,0.086292158,0.058653814,,0.126402414
MDCM,0.009840675,0.41967116,0.066760835,,0.26216416
Linear Depend,0.310946044,0.315397341,0.025346652,,0.252444853
MPMR,0.20636475,0.229798691,0.045174669,,0.127482337
MCFS,0.371774925,0.372611717,0.642212865,,0.48164565
RSPCA,0.632118673,0.087778245,0.294343493,,0.060064288
