,SVM,randomfroest,logesticregression,knn,decisiontree
Variance,0.656,0.712,0.688,0.664,0.712
Sim Entropy,0.624,0.6,0.664,0.584,0.56
Rep Entropy,0.664,0.704,0.656,0.672,0.696
Lap Score,0.632,0.648,0.672,0.728,0.64
SPECtrum,0.664,0.672,0.616,0.616,0.6
Mutual Corre,0.664,0.704,0.664,0.616,0.568
MICI,0.68,0.704,0.712,0.704,0.672
MDCM,0.744,0.792,0.736,0.76,0.752
Linear Depend,0.728,0.776,0.712,0.736,0.728
MPMR,0.712,0.744,0.736,0.728,0.648
MCFS,0.64,0.632,0.64,0.6,0.648
RSPCA,0.648,0.72,0.64,0.72,0.656
ANOVA F,0.744,0.776,0.704,0.744,0.696
ReliefF,0.776,0.784,0.776,0.728,0.664
Info Gain,0.736,0.728,0.752,0.72,0.68
MRMR,0.68,0.816,0.704,0.744,0.728
ERFS,0.696,0.688,0.72,0.688,0.672
