,SVM,randomfroest,logesticregression,knn,decisiontree
Variance,0.7125603310520708,0.6265269977988595,0.5972681641588536,0.7809523296326565,0.8302325115113605
Sim Entropy,0.6421094508633073,0.7456369354026813,0.6523178286308751,0.6333332917142882,0.7895348393784505
Rep Entropy,0.4702093032027223,0.7212041276890773,0.48427148445312485,0.652380909510207,0.8302325115113605
Lap Score,0.25885666263643003,0.623472896834659,0.3249171925604293,0.6833332884285742,0.6552325213398482
SPECtrum,0.6871980141841163,0.7578533392594838,0.6986754408178408,0.5999999605714313,0.7732557705252868
Mutual Corre,0.4786634088253744,0.7303664305816784,0.5248343951167194,0.5976190083469417,0.6654069393730757
MICI,0.0,0.1775741560613763,0.0,0.3380952158775522,0.4293604410021985
MDCM,0.7463767535426782,0.6601221084050656,0.6465231271075047,0.8142856607755141,0.8322673951180058
Linear Depend,0.833735844976745,0.7945025508298904,0.8725164865189624,0.6404761483877579,0.6979650770794036
MPMR,0.639291415655756,0.7914484498656901,0.666804582439302,0.652380909510207,0.6409883360933294
MCFS,0.698470155014318,0.7242582286532776,0.7218542469113243,0.7452380462653093,0.7061046115059851
RSPCA,0.8590981618447004,0.880017377827507,0.8377482773787382,0.7761904251836772,0.8159883262648416
ANOVA F,1.0,1.0,1.0,0.992857077612249,0.9665697131566081
ReliefF,1.0,1.0,1.0,0.966666603142861,0.960465062336672
Info Gain,1.0,1.0,1.0,1.0,0.9706394803698994
MRMR,1.0,1.0,1.0,0.9904761253877592,0.9543604115167352
ERFS,1.0,1.0,1.0,1.0,0.9686045967632535
