,SVM,randomfroest,logesticregression,knn,decisiontree
Variance,0.8202898550724638,0.8307971014492753,0.8119565217391305,0.8442028985507246,0.8384057971014492
Sim Entropy,0.782608695652174,0.7971014492753623,0.7757246376811594,0.7931159420289855,0.8043478260869565
Rep Entropy,0.616304347826087,0.6260869565217392,0.619927536231884,0.5159420289855072,0.6340579710144928
Lap Score,0.691304347826087,0.7431159420289855,0.7014492753623188,0.7427536231884058,0.7086956521739131
SPECtrum,0.7210144927536232,0.7525362318840579,0.7242753623188406,0.7471014492753624,0.758695652173913
Mutual Corre,0.616304347826087,0.6257246376811594,0.619927536231884,0.5159420289855072,0.6340579710144928
MICI,0.8199275362318841,0.8304347826086956,0.811231884057971,0.8398550724637681,0.8373188405797102
MDCM,0.8199275362318841,0.8318840579710145,0.811231884057971,0.8398550724637681,0.8373188405797102
Linear Depend,0.7492753623188406,0.803623188405797,0.7394927536231884,0.7782608695652173,0.7760869565217391
MPMR,0.7579710144927536,0.8039855072463769,0.7547101449275362,0.7594202898550725,0.7641304347826087
MCFS,0.6423913043478261,0.6721014492753623,0.663768115942029,0.6731884057971015,0.6739130434782609
RSPCA,0.7804347826086957,0.7956521739130434,0.7652173913043478,0.7876811594202898,0.7862318840579711
ANOVA F,0.8536231884057971,0.8771739130434782,0.8518115942028985,0.8601449275362318,0.8485507246376811
ReliefF,0.8525362318840579,0.8739130434782608,0.8391304347826087,0.8579710144927536,0.8402173913043478
Info Gain,0.8739130434782608,0.9050724637681159,0.8623188405797102,0.8876811594202898,0.8576086956521739
MRMR,0.825,0.8420289855072464,0.822463768115942,0.8173913043478261,0.8333333333333334
ERFS,0.8615942028985507,0.8894927536231884,0.8572463768115942,0.869927536231884,0.8601449275362318
