Unnamed: 0,SVM,RFC,LRC,KNN,DST
Variance,0.050062707,0.123152759,0.060711901,0.025696127,0.003850632
Sim Entropy,0.173293984,0.182982608,0.197716633,0.151759356,0.195307653
Rep Entropy,0.139441206,0.120644921,0.121961075,0.030710005,0.092862923
SPECtrum,0.053824126,0.086609977,0.052652799,0.053093391,0.044685245
Lap Score,0.086602213,0.063860303,0.08077011,0.044856305,0.057759485
Mutual Corre,0.004388323,0.015315725,0.011640925,0.022293852,0.024984335
MICI,0.002597171,0.057590708,0.020058209,0.07404424,0.045043443
MDCM,0.066899538,0.126018859,0.061965539,0.030889072,0.003313335
Linear Depend,0.157710959,0.216480158,0.163868405,0.072253569,0.142473396
MPMR,0.09161744,0.066905535,0.067338274,0.001880204,0.037342178
MCFS,0.086960444,0.070129898,0.065726453,0.068851295,0.05650579
RSPCA,0.117589148,0.158620753,0.129841086,0.021040383,0.107907254
ANOVA F,0.558033497,0.481057067,0.57004714,0.444713109,0.482761832
ReliefF,0.370678967,0.396327969,0.349406839,0.353747029,0.386764673
Info Gain,0.63075428,0.73649828,0.598522633,0.540693068,0.570699529
MRMR,0.641501194,0.52888512,0.631117223,0.530307177,0.566759347
ERFS,0.645799959,0.539095604,0.643295422,0.530665311,0.565684752
Variance,0.065368271,0.130734885,0.031440359,0.071595047,0.061537113
Sim Entropy,0.211864834,0.169265386,0.193568707,0.166756423,0.184253045
Rep Entropy,0.10244014,0.050627286,0.09145472,0.053494672,0.02731997
SPECtrum,0.022565485,0.010304669,0.013346477,0.028584255,0.091633867
Lap Score,0.014148201,0.008154129,0.005105699,0.02804662,0.047205326
Mutual Corre,0.032057316,0.036648779,0.03609819,0.046863842,0.073539986
MICI,0.115334703,0.018548404,0.070494481,0.131451732,0.098083172
MDCM,0.036176413,0.108333431,0.034306717,0.013888901,0.018900045
Linear Depend,0.151511115,0.127688287,0.135704115,0.000448029,0.052758893
MPMR,0.046384609,0.075537703,0.035739896,0.074283221,0.040039432
MCFS,0.143452014,0.108512643,0.090200689,0.045250937,0.065657502
RSPCA,0.105842871,0.086290401,0.113310696,0.006899648,0.056162693
ANOVA F,0.539780735,0.344534361,0.505464237,0.396147311,0.390630788
ReliefF,0.414237837,0.337186685,0.385435515,0.349193864,0.357846824
Info Gain,0.572554416,0.681989863,0.534127812,0.480197566,0.447957939
MRMR,0.617148113,0.370161625,0.575869144,0.483064952,0.459244221
ERFS,0.648668156,0.406003951,0.608115666,0.51353093,0.478592135
Variance,0.003137048,0.113814705,0.004299344,0.015501806,0.046868047
Sim Entropy,0.097427751,0.06040245,0.076313348,0.061379984,0.050094146
Rep Entropy,0.124675254,0.083703098,0.123964406,0.072670317,0.080562857
SPECtrum,0.124495994,0.153605043,0.11518658,0.13342306,0.042925037
Lap Score,0.051716479,0.050544483,0.032065937,0.121236669,0.046868047
Mutual Corre,0.052792038,0.069005766,0.065744129,0.052240191,0.059413987
MICI,0.081115101,0.016848161,0.067714661,0.106182892,0.149207072
MDCM,0.136506407,0.171170147,0.148327353,0.075896126,0.082175907
Linear Depend,0.06534023,0.098221194,0.058041138,0.019623674,0.005645673
MPMR,0.121627836,0.228167118,0.126472357,0.08073484,0.03485979
MCFS,0.091870694,0.075279018,0.086166011,0.045967783,0.013173237
RSPCA,0.01622302,0.018640519,0.019526185,0.107258161,0.065507729
ANOVA F,0.472260183,0.317068053,0.431188332,0.355645483,0.29438152
ReliefF,0.320785575,0.274230707,0.25384041,0.252778006,0.276996431
Info Gain,0.534463365,0.577497607,0.443728084,0.436469928,0.44797967
MRMR,0.568522744,0.383206047,0.501590083,0.455645573,0.415718682
ERFS,0.639330401,0.473540868,0.571812694,0.558154626,0.493503509
Variance,0.053228243,0.219662398,0.081078715,0.051721122,0.075716914
Sim Entropy,0.160222387,0.12552137,0.145045789,0.159107438,0.149014472
Rep Entropy,0.072763187,0.053077608,0.116735431,0.015507373,0.026075292
SPECtrum,0.091043593,0.050567181,0.104909586,0.05315533,0.050985709
Lap Score,0.090505934,0.050029232,0.12766538,0.044729359,0.045788572
Mutual Corre,0.022940118,0.052181027,0.040046614,0.040606011,0.058333386
MICI,0.003942833,0.12265231,0.062981587,0.002061674,0.141308371
MDCM,0.077422898,0.113686498,0.110643329,0.003675158,0.057437328
Linear Depend,0.250549101,0.232573167,0.260616554,0.103531882,0.05654127
MPMR,0.17509762,0.289595732,0.164397173,0.110702921,0.010842304
MCFS,0.077243679,0.122293678,0.052409998,0.04956981,0.023745541
RSPCA,0.186209239,0.161743251,0.210983838,0.038454699,0.008691764
ANOVA F,0.414176662,0.3102171,0.367049165,0.380692556,0.246684811
ReliefF,0.373673016,0.309320519,0.338201269,0.302169675,0.28611137
Info Gain,0.516152655,0.552831977,0.433166393,0.433041144,0.356183117
MRMR,0.495183954,0.329762571,0.408260445,0.431606936,0.359588138
ERFS,0.596622288,0.443269753,0.480469776,0.50959199,0.447760261
Variance,0.085713164,0.036339297,0.059261357,0.071169371,0.08388688
Sim Entropy,0.145604789,0.135576983,0.117715826,0.054138917,0.045487324
Rep Entropy,0.05917436,0.028981711,0.083109346,0.024201172,0.11564726
SPECtrum,0.018648889,0.120502904,0.023220411,0.038004803,0.098062417
Lap Score,0.072623078,0.055899709,0.052089029,0.04087309,0.04764057
Mutual Corre,0.00430359,0.010856926,0.012999844,0.004481698,0.058227364
MICI,0.147577268,0.052490096,0.124529538,0.120468054,0.145074957
MDCM,0.015241881,0.031673511,0.035951292,0.036391391,0.056791866
Linear Depend,0.03675983,0.061821669,0.047247708,0.043562109,0.019648371
MPMR,0,0.090354746,0.026089342,0.030654817,0.015521316
MCFS,0.049670599,0.044235243,0.06392337,0.021153617,0.087475624
RSPCA,0.054153505,0.008165126,0.058006199,0.069914496,0.017495125
ANOVA F,0.40328223,0.310902876,0.388829809,0.306368906,0.323435511
ReliefF,0.380329751,0.250786014,0.321589238,0.261193386,0.253993323
Info Gain,0.511409925,0.518350913,0.453560065,0.367499273,0.393774884
MRMR,0.512665139,0.370840285,0.482070067,0.376104134,0.416204531
ERFS,0.579012149,0.472051957,0.561862212,0.51898068,0.51094736
Variance,0.020179423,0.084202764,0.015151542,0.028238503,0.102263089
Sim Entropy,0.181076688,0.127157856,0.190156335,0.108202774,0.19509894
Rep Entropy,0.00170404,0.025970756,0.022144561,0.076288782,0.028820414
SPECtrum,0.063228858,0.045561154,0.066433684,0.107127021,0.068325031
Lap Score,0.062331995,0.004223618,0.085440352,0.028597088,0.02397212
Mutual Corre,0.052287127,0.00620063,0.074681861,0.087404892,0.111959677
MICI,0.032914881,0.081506838,0.001882736,0.028597088,0.095798697
MDCM,0.003497767,0.024892386,0.026806574,0.090811441,0.058987576
Linear Depend,0.075426199,0.116194422,0.06589576,0.023397617,0.009965938
MPMR,0.010134555,0.090133802,0.020710096,0.061945416,0.100108292
