Unnamed: 0,SVM,RFC,LRC,KNN,DST
Variance,0.057763491,0.16815639,0.080159369,0.045865639,0.00340465
Sim Entropy,0.257528455,0.267300425,0.291245531,0.232766606,0.290878026
Rep Entropy,0.196458097,0.17731608,0.1782149,0.04465135,0.135761095
SPECtrum,0.090236565,0.129814415,0.08810828,0.087391483,0.072751064
Lap Score,0.123619917,0.094654863,0.112927514,0.066140534,0.085276266
Mutual Corre,0.016450772,0.007780047,0.010320605,0.022006546,0.029605345
MICI,0.025608659,0.065819265,0.010597955,0.121073339,0.077972713
MDCM,0.096212038,0.183432021,0.098549782,0.035317502,0.008380951
Linear Depend,0.237264119,0.31401804,0.241215929,0.109486923,0.216526866
MPMR,0.128350869,0.109274452,0.095511381,0.013060275,0.061134362
MCFS,0.129314483,0.09877779,0.096928353,0.089228029,0.080200403
RSPCA,0.179420623,0.234180113,0.192583743,0.034556571,0.155934759
ANOVA F,0.760726871,0.678768171,0.764455515,0.620318631,0.677468505
ReliefF,0.541367834,0.562355491,0.506074134,0.515557302,0.561342375
Info Gain,0.820629158,0.904337963,0.791603774,0.717683997,0.760842433
MRMR,0.837554626,0.731983974,0.822314909,0.70788079,0.761681595
ERFS,0.842310469,0.740962319,0.834203607,0.710936958,0.762721658
Variance,0.100332908,0.192375082,0.050428296,0.110508003,0.091136742
Sim Entropy,0.315241325,0.255897991,0.294304326,0.243015911,0.273269774
Rep Entropy,0.143386062,0.072476458,0.131624892,0.077474367,0.037382048
SPECtrum,0.031735167,0.018070667,0.020068911,0.047347619,0.128517012
Lap Score,0.018879313,0.012978735,0.011567004,0.042783715,0.067906749
Mutual Corre,0.048354794,0.054153329,0.051719049,0.070396493,0.110636709
MICI,0.171540578,0.029323052,0.102822946,0.190035861,0.14247172
MDCM,0.049958442,0.162209301,0.045418179,0.025061471,0.030976287
Linear Depend,0.222023495,0.185435903,0.198267616,0.002666871,0.080792942
MPMR,0.070411179,0.108655127,0.052625777,0.111213835,0.062400605
MCFS,0.208641388,0.162367535,0.129516305,0.071879273,0.097178034
RSPCA,0.156051683,0.134232126,0.169671907,0.011378648,0.082380603
ANOVA F,0.728154071,0.502307282,0.690002169,0.562366546,0.557134031
ReliefF,0.587262375,0.48106127,0.554337893,0.506705402,0.507146699
Info Gain,0.763071644,0.866499484,0.725051648,0.670557927,0.623070872
MRMR,0.808341815,0.531836571,0.763089773,0.666415389,0.636620219
ERFS,0.830266638,0.569780704,0.789183981,0.693244106,0.655544148
Variance,0.003746104,0.168957216,0.00120541,0.022650681,0.073059937
Sim Entropy,0.15200613,0.101391042,0.119440533,0.093986102,0.071731833
Rep Entropy,0.185539718,0.138599286,0.183633086,0.105761256,0.125172458
SPECtrum,0.186825164,0.23242707,0.168613458,0.19918198,0.070625969
