,SVM,randomfroest,logesticregression,knn,decisiontree
Variance,0.0,0.0,0.0,0.0,0.0
Sim Entropy,0.7042682594341648,0.7052468798742346,0.7317072825290021,0.7315715957485781,0.7051281701316996
Rep Entropy,0.9557926378035095,0.8950616856171907,0.9817072707264111,0.9916550337808675,0.9599358497929278
Lap Score,0.0,0.02932098625297677,0.006097560687742117,0.07232266726031582,0.03205128046053188
SPECtrum,0.6905487478867459,0.7793209504080711,0.7499999645922274,0.63838662062471,0.7387820146152584
Mutual Corre,0.9893292215860888,0.9567900777287207,1.0,0.9721835464415515,0.9599358497929278
MICI,0.012195121375483191,0.0,0.11890243341096315,0.037552154154395084,0.09134614931251565
MDCM,0.0,0.0,0.15243901719354244,0.006954102621184338,0.0
Linear Depend,0.6905487478867459,0.654320956382222,0.6981706987464228,0.5465924660250785,0.7387820146152584
MPMR,0.9039633719577049,0.9629629169398737,0.9969511724457656,0.9346313922871572,1.0
MCFS,0.9359755655683492,1.0,0.9999999527896364,1.0,0.9391025174935822
RSPCA,0.9817072707264116,0.9706789659538151,1.0,0.8929067765600516,0.9551281577238478
ANOVA F,0.990853611758024,0.981481434573333,0.980182880554476,1.0,1.0
ReliefF,0.929878004880607,0.8919752660116143,0.903963371957705,0.9374130333356308,0.9391025174935822
Info Gain,1.0,1.0,1.0,1.0,1.0
MRMR,0.980182880554476,0.9830246443761216,0.9786584903825403,1.0,1.0
ERFS,1.0,1.0,1.0,1.0,1.0
