Unnamed: 0,svm,rft,lgn,knn,dtr
Variance,0.048157781,0.04826278,0.022908462,0.119957741,0.055999809
Sim Entropy,0.483602903,0.583379357,0.518105855,0.603918556,0.594625756
Rep Entropy,0.409020084,0.491127814,0.413312846,0.580628122,0.483346548
SPECtrum,0.013187823,0.080437967,0.046729421,0.13546869,0.002449391
Lap Score,0.176290639,0.155120663,0.148599972,0.2120972,0.154006869
Mutual Corre,0.34367368,0.396331069,0.3569782,0.414377642,0.382057014
MICI,0.029536772,0.073186544,0.039333398,0.131723012,0.083807604
MDCM,0.354787014,0.355031576,0.332628954,0.36102574,0.341281853
Linear Depend,0.024054194,0.019593248,0.025069638,0.080484057,0.02348534
MPMR,0.395338335,0.492088267,0.412304298,0.571504034,0.499579768
MCFS,0.088066998,0.024347492,0.083901643,0.017383788,0.035684269
RSPCA,0.008199171,0.019257089,0.035827491,0.123223204,0.006387628
ANOVA F,0.911243995,0.909117106,0.934636452,0.903044565,0.91981847
ReliefF,0.651043802,0.691142221,0.611948907,0.696407992,0.68001826
Info Gain,0.861357474,0.905563428,0.874219585,0.932337688,0.936579991
MRMR,0.926209952,0.902489978,0.942080502,0.889454477,0.922507998
ERFS,0.927247196,0.865656592,0.94817982,0.874135614,0.893787684
Variance,0.032899477,0.058538225,0.003073377,0.055366146,0.044865023
Sim Entropy,0.454204898,0.480407223,0.445063389,0.447971188,0.395571163
Rep Entropy,0.482925901,0.601037265,0.492028429,0.558511405,0.460707106
SPECtrum,0.179482257,0.20716481,0.175230503,0.285954382,0.26731676
Lap Score,0.306801806,0.330315548,0.323183326,0.332148692,0.296781173
Mutual Corre,0.454685182,0.487562429,0.427247407,0.47937575,0.381977157
MICI,0.027424236,0.036736458,0.020409143,0.022713085,0.035594199
MDCM,0.361317907,0.431233193,0.355071072,0.454597839,0.34273227
Linear Depend,0.198597573,0.260852862,0.186419516,0.335222089,0.255355956
MPMR,0.245665438,0.283326931,0.240299655,0.2157503,0.28946106
MCFS,0.078142262,0.055560891,0.125864387,0.017430972,0.029253532
RSPCA,0.234618899,0.321600077,0.268152132,0.346554622,0.293880313
ANOVA F,0.901349616,0.874759893,0.904197081,0.897046819,0.909693586
ReliefF,0.774938778,0.803015752,0.806521322,0.796110444,0.760735945
Info Gain,0.877527512,0.88830196,0.875672302,0.883985594,0.880007735
MRMR,0.888285882,0.846811372,0.889214369,0.878127251,0.907387889
ERFS,0.957734997,0.909335383,0.977237804,0.912412965,0.928043092
Variance,0.144174432,0.173453707,0.155741248,0.194621849,0.16196744
Sim Entropy,0.31308232,0.411976566,0.387696299,0.373253301,0.309813164
Rep Entropy,0.31308232,0.492748752,0.468184222,0.517406963,0.400883825
SPECtrum,0.08716742,0.062379946,0.046342986,0.005138055,0.016043038
Lap Score,0.057155208,0.026125585,0.122421535,0.084471871,0.102437855
Mutual Corre,0.279416005,0.421724933,0.434279405,0.431740696,0.31163842
MICI,0.143886276,0.149298886,0.126830909,0.156206483,0.142946353
MDCM,0.080059553,0.191221668,0.213754023,0.271164466,0.14179356
Linear Depend,0.006627605,0.047013062,0.062767133,0.175894358,0.043421876
MPMR,0.141581022,0.129850173,0.067953705,0.059879952,0.185839866
MCFS,0.026510422,0.050422589,0.066609038,0.062953181,0.116288011
RSPCA,0.081356259,0.046917019,0.003505739,0.133541417,0.005235602
ANOVA F,0.714676792,0.792883213,0.773327574,0.791116447,0.772803721
ReliefF,0.647104031,0.791922782,0.742112091,0.729363745,0.707815006
Info Gain,0.699260405,0.866980408,0.79301734,0.849219688,0.750036056
MRMR,0.738113541,0.763878218,0.754886427,0.766722689,0.788942825
ERFS,0.913552982,0.930080677,0.982519334,0.93517407,0.923387329
Variance,0.110988379,0.205532079,0.183485798,0.171965041,0.200850775
Sim Entropy,0.403131308,0.494861699,0.464212826,0.488618902,0.36195434
Rep Entropy,0.406349058,0.480407223,0.468822781,0.503841722,0.340999342
SPECtrum,0.113773894,0.158519017,0.153569113,0.157126393,0.166630686
Lap Score,0.228361408,0.165117351,0.190454472,0.253633126,0.124290812
Mutual Corre,0.462107391,0.529581253,0.505510337,0.53457549,0.372720211
MICI,0.165690137,0.31977526,0.277173522,0.243613139,0.244635187
MDCM,0.252425322,0.308394161,0.287689981,0.305560892,0.174897337
Linear Depend,0.019642686,0.051527084,0.04792432,0.027996542,0.09698896
MPMR,0.010613774,0.006194775,0.040241062,0.035487899,0.077427758
MCFS,0.113005476,0.0082597,0.038416289,0.044852094,0.0135054
RSPCA,0.062722121,0.034383404,0.048212442,0.135852862,0.009468199
ANOVA F,0.756027287,0.877016905,0.851400994,0.811851711,0.839689852
ReliefF,0.688790709,0.799894354,0.755360273,0.750576259,0.759282255
Info Gain,0.765392381,0.879946217,0.854378257,0.831396467,0.790089948
MRMR,0.771299595,0.879369959,0.854186175,0.816173647,0.854973543
ERFS,0.916866785,0.948184788,0.977790583,0.896945833,0.93413153
Variance,0.16194021,0.209272732,0.145176008,0.16625048,0.024776932
Sim Entropy,0.21592028,0.223054575,0.225471835,0.315837496,0.159871353
Rep Entropy,0.207948135,0.25297126,0.236805457,0.411064157,0.179741009
SPECtrum,0.148733342,0.21032918,0.242328196,0.290770265,0.216738021
Lap Score,0.267795389,0.201421574,0.142864004,0.155344236,0.143964045
Mutual Corre,0.195893866,0.195442868,0.215723,0.382779486,0.141541234
MICI,0.113579062,0.182813513,0.098496855,0.138590089,0.001202764
MDCM,0.052635371,0.044034671,0.067953705,0.25792355,0.052344277
Linear Depend,0.049177573,0.012389253,0.025596696,0.156454092,0.169637794
MPMR,0.034049706,0.102715551,0.015127503,0.136381099,0.019629104
MCFS,0.033809581,0.1278302,0.141286079,0.114483289,0.215823921
RSPCA,0.069780286,0.097337271,0.079623494,0.189156742,0.176469492
ANOVA F,0.543258498,0.715983577,0.740527305,0.806425279,0.684083889
ReliefF,0.523568259,0.690964969,0.674494552,0.691509797,0.644921903
Info Gain,0.542538124,0.702441836,0.714402347,0.794227815,0.615574468
MRMR,0.573322132,0.749309708,0.766748311,0.812091818,0.734359412
ERFS,0.854412301,0.883430575,0.89559622,0.759508261,0.878498615
Variance,0.006387168,0.07001873,0.131684477,0.10872854,0.003984439
Sim Entropy,0.305335448,0.166018346,0.262264379,0.268075401,0.067443925
Rep Entropy,0.361331222,0.390193538,0.493456601,0.496578224,0.38969761
SPECtrum,0.084137733,0.268357106,0.353703929,0.348517231,0.354615107
Lap Score,0.169748788,0.179067199,0.254485194,0.218627663,0.207425057
Mutual Corre,0.439033763,0.373769391,0.480681958,0.476119586,0.299124499
MICI,0.110983048,0.202324354,0.24276624,0.213086807,0.167346455
MDCM,0.317917689,0.302405995,0.420698766,0.366526596,0.358696727
Linear Depend,0.017384623,0.05028094,0.146332094,0.165686158,0.126676018
MPMR,0.349853529,0.262065986,0.399135553,0.319462123,0.249610551
