,SVM,randomfroest,logesticregression,knn,decisiontree
Variance,0.6968033580884727,0.7449144333225702,0.7384565708750404,0.6693574426864708,0.7313529221827575
Sim Entropy,0.6932515337423313,0.7594446238295124,0.7575072650952535,0.6880852437843074,0.7313529221827575
Rep Entropy,0.6945431062318372,0.7549241201162415,0.7520180820148531,0.6884081369066839,0.7281239909589926
Lap Score,0.7000322893122376,0.7613819825637714,0.75783015821763,0.6916370681304488,0.7313529221827575
SPECtrum,0.6887310300290603,0.7358734258960284,0.7365192121407814,0.6654827252179528,0.6942202131094608
Mutual Corre,0.6935744268647078,0.7575072650952535,0.7581530513400064,0.6855020988052954,0.7281239909589926
MICI,0.6913141750080724,0.7478204714239587,0.7471746851792057,0.6732321601549887,0.7313529221827575
MDCM,0.6816273813367775,0.7481433645463351,0.7394252502421699,0.6638682596060704,0.7313529221827575
Linear Depend,0.6948659993542138,0.7504036164029706,0.7381336777526639,0.6716176945431063,0.7313529221827575
MPMR,0.6855020988052954,0.755247013238618,0.7555699063609945,0.6887310300290603,0.7313529221827575
MCFS,0.6793671294801421,0.7432999677106877,0.7416855020988053,0.6719405876654827,0.7190829835324507
RSPCA,0.6984178237003552,0.759121730707136,0.755892799483371,0.686470778172425,0.7313529221827575
ANOVA F,0.6935744268647078,0.7565385857281239,0.755892799483371,0.6877623506619309,0.7281239909589926
ReliefF,0.6932515337423313,0.7633193412980304,0.7581530513400064,0.7000322893122376,0.7313529221827575
Info Gain,0.6993865030674846,0.7568614788505005,0.757184371972877,0.6855020988052954,0.7281239909589926
MRMR,0.7045527930255086,0.7542783338714886,0.7581530513400064,0.6871165644171779,0.7281239909589926
ERFS,0.6964804649660962,0.753955440749112,0.7536325476267356,0.68324184694866,0.7313529221827575
