,LNR,RDR,LSR,GBR,GFR
Variance,0.16672954788628433,0.16672954788628433,0.15930540961456105,0.20897775911538805,0.2210486766094177
Sim Entropy,0.306184012066365,0.3092006033182504,0.2807547969397898,0.36651583710407243,0.3966817496229261
Rep Entropy,0.2081447963800905,0.21116138763197587,0.18716986462652652,0.24132730015082957,0.26244343891402716
SPECtrum,0.1085972850678733,0.11161387631975869,0.09811323548971147,0.14177978883861236,0.15384615384615385
Lap Score,0.3619909502262444,0.36500754147812975,0.33962273823361666,0.4072398190045249,0.44645550527903477
Mutual Corre,0.33106661079240746,0.33409005016037463,0.30257220707219407,0.42176979183142316,0.467121382350931
MICI,0.33484162895927605,0.33484162895927605,0.3064151816063297,0.4193061840120664,0.45550527903469085
MDCM,0.2654600301659125,0.2654600301659125,0.23396233078315817,0.34087481146304677,0.3740573152337858
Linear Depend,0.29260935143288086,0.2956259426847662,0.2716981905868933,0.3438914027149321,0.3619909502262444
MPMR,0.18853695324283562,0.18853695324283562,0.19018873341082534,0.17043740573152338,0.1764705882352941
MCFS,0.11764705882352941,0.11764705882352941,0.09660380109756207,0.1689291101055807,0.19607843137254904
RSPCA,0.1583710407239819,0.1583710407239819,0.15094343921494074,0.20060331825037708,0.21266968325791855
ANOVA F,0.9155354449472096,0.9185520361990951,0.8996228977210468,0.861236802413273,0.8340874811463047
ReliefF,0.7450980392156863,0.7481146304675717,0.718490770663118,0.8024132730015083,0.8174962292609351
Info Gain,0.6938159879336351,0.6968325791855203,0.6611322637614404,0.7692307692307693,0.808446455505279
MRMR,0.8536953242835597,0.856711915535445,0.8769813818388057,0.7631975867269986,0.726998491704374
ERFS,0.942684766214178,0.942684766214178,0.9358493231326327,0.8461538461538461,0.7978883861236803
Variance,0.1657142857142857,0.16244897959183674,0.13556554825550698,0.17224489795918366,0.21142857142857144
Sim Entropy,0.4661224489795918,0.4693877551020408,0.42956312278552217,0.5085714285714286,0.5346938775510205
Rep Entropy,0.4220408163265306,0.4220408163265306,0.39853004547402054,0.4416326530612245,0.4579591836734694
SPECtrum,0.2636734693877551,0.26040816326530614,0.26296449721851356,0.26040816326530614,0.2636734693877551
Lap Score,0.15755102040816327,0.16081632653061226,0.13066558868000672,0.17061224489795918,0.18040816326530612
Mutual Corre,0.5749285901920297,0.5749285901920297,0.525326797385621,0.6369947448150328,0.6859943405700354
