Unnamed: 0,LNR,RDR,LSR,GBR,RFR
Variance,0.111836735,0.291428571,0.111836735,0.330612245,0.333877551
Sim Entropy,0.601632653,0.425306122,0.601632653,0.441632653,0.41877551
Rep Entropy,0.075918367,0.151020408,0.075918367,0.183673469,0.167346939
SPECtrum,0.485714286,0.296326531,0.485714286,0.289795918,0.273469388
Lap Score,0.124897959,0.229387755,0.124897959,0.226122449,0.213061224
Mutual Corre,0.41877551,0.275102041,0.41877551,0.268571429,0.252244898
MICI,0.04,0.146122449,0.04,0.198367347,0.217959184
MDCM,0.030204082,0.064489796,0.030204082,0.103673469,0.12
Linear Depend,0.531428571,0.374693878,0.531428571,0.32244898,0.319183673
MPMR,0.425306122,0.307755102,0.425306122,0.275102041,0.262040816
MCFS,0.422040816,0.340408163,0.422040816,0.41877551,0.399183673
RSPCA,0.102040816,0.284897959,0.102040816,0.330612245,0.337142857
ANOVA F,0.670204082,0.719183673,0.670204082,0.693061224,0.689795918
ReliefF,0.511836735,0.479183673,0.511836735,0.456326531,0.456326531
Info Gain,0.46122449,0.422040816,0.46122449,0.451428571,0.438367347
MRMR,0.662040816,0.841632653,0.662040816,0.724081633,0.756734694
ERFS,0.632653061,0.511836735,0.632653061,0.49877551,0.466122449
Variance,0.253877551,0.371428571,0.252244898,0.449795918,0.471020408
Sim Entropy,0.288163265,0.173877551,0.289795918,0.118367347,0.113469388
Rep Entropy,0.172244898,0.231020408,0.170612245,0.28,0.30122449
SPECtrum,0.152653061,0.048163265,0.151020408,0.026938776,0.051428571
Lap Score,0.139591837,0.155918367,0.14122449,0.175510204,0.203265306
Mutual Corre,0.250612245,0.136326531,0.252244898,0.080816327,0.075918367
MICI,0.211428571,0.342040816,0.213061224,0.404081633,0.441632653
MDCM,0.00244898,0.056326531,0.000816327,0.144489796,0.12
Linear Depend,0.441632653,0.363265306,0.44,0.248979592,0.244081633
MPMR,0.173877551,0.14122449,0.172244898,0.056326531,0.080816327
MCFS,0.423673469,0.528163265,0.422040816,0.577142857,0.575510204
RSPCA,0.257142857,0.377959184,0.255510204,0.459591837,0.487346939
ANOVA F,0.629387755,0.629387755,0.631020408,0.593469388,0.614693878
ReliefF,0.296326531,0.244081633,0.297959184,0.198367347,0.206530612
Info Gain,0.222857143,0.170612245,0.22122449,0.15755102,0.168979592
MRMR,0.72244898,0.761632653,0.724081633,0.666938776,0.720816327
ERFS,0.544489796,0.648979592,0.542857143,0.639183673,0.634285714
Variance,0.304489796,0.364897959,0.304489796,0.361632653,0.358367347
Sim Entropy,0.466122449,0.382857143,0.466122449,0.265306122,0.252244898
Rep Entropy,0.226122449,0.22122449,0.226122449,0.204897959,0.139591837
SPECtrum,0.358367347,0.288163265,0.358367347,0.144489796,0.137959184
Lap Score,0.151020408,0.182040816,0.151020408,0.12,0.074285714
Mutual Corre,0.423673469,0.337142857,0.423673469,0.229387755,0.173877551
MICI,0.304489796,0.345306122,0.304489796,0.400816327,0.404081633
MDCM,0.026938776,0.020408163,0.026938776,0.056326531,0.075918367
Linear Depend,0.449795918,0.382857143,0.449795918,0.395918367,0.422040816
MPMR,0.051428571,0.013877551,0.051428571,0.005714286,0.013877551
MCFS,0.356734694,0.413877551,0.356734694,0.564081633,0.55755102
RSPCA,0.312653061,0.376326531,0.312653061,0.373061224,0.379591837
ANOVA F,0.511836735,0.549387755,0.511836735,0.533061224,0.523265306
ReliefF,0.247346939,0.245714286,0.247346939,0.222857143,0.196734694
Info Gain,0.177142857,0.185306122,0.177142857,0.198367347,0.165714286
MRMR,0.560816327,0.640816327,0.560816327,0.611428571,0.611428571
ERFS,0.57877551,0.6,0.57877551,0.704489796,0.714285714
Variance,0.146122449,0.342040816,0.151020408,0.412244898,0.475918367
Sim Entropy,0.430204082,0.208163265,0.425306122,0.167346939,0.090612245
Rep Entropy,0.224489796,0.335510204,0.229387755,0.324081633,0.240816327
SPECtrum,0.366530612,0.09877551,0.361632653,0.031836735,0.044897959
Lap Score,0.2,0.177142857,0.198367347,0.201632653,0.134693878
Mutual Corre,0.36,0.216326531,0.355102041,0.165714286,0.088979592
MICI,0.116734694,0.342040816,0.121632653,0.399183673,0.48244898
MDCM,0.224489796,0.155918367,0.222857143,0.043265306,0.095510204
Linear Depend,0.44,0.276734694,0.435102041,0.245714286,0.217959184
MPMR,0.252244898,0.291428571,0.257142857,0.185306122,0.036734694
MCFS,0.257142857,0.394285714,0.262040816,0.506938776,0.551020408
RSPCA,0.136326531,0.332244898,0.14122449,0.422040816,0.492244898
ANOVA F,0.412244898,0.412244898,0.413877551,0.472653061,0.513469388
ReliefF,0.284897959,0.121632653,0.28,0.159183673,0.186938776
Info Gain,0.203265306,0.059591837,0.198367347,0.123265306,0.14122449
MRMR,0.410612245,0.456326531,0.412244898,0.526530612,0.606530612
ERFS,0.487346939,0.644081633,0.492244898,0.737142857,0.696326531
Variance,0.020408163,0.206530612,0.023673469,0.208163265,0.268571429
Sim Entropy,0.38122449,0.080816327,0.384489796,0.180408163,0.051428571
Rep Entropy,0.066122449,0.15755102,0.069387755,0.250612245,0.075918367
SPECtrum,0.361632653,0.038367347,0.364897959,0.105306122,0.017142857
Lap Score,0.151020408,0.085714286,0.154285714,0.214693878,0.026938776
Mutual Corre,0.389387755,0.121632653,0.392653061,0.22122449,0.108571429
MICI,0.123265306,0.193469388,0.12,0.12,0.239183673
MDCM,0.160816327,0.147755102,0.164081633,0.253877551,0.031836735
Linear Depend,0.333877551,0.271836735,0.337142857,0.335510204,0.183673469
MPMR,0.175510204,0.240816327,0.17877551,0.337142857,0.048163265
MCFS,0.284897959,0.30122449,0.288163265,0.33877551,0.382857143
RSPCA,0.008979592,0.190204082,0.005714286,0.195102041,0.284897959
ANOVA F,0.33877551,0.201632653,0.33877551,0.265306122,0.391020408
ReliefF,0.268571429,0.022040816,0.268571429,0.084081633,0.046530612
Info Gain,0.235918367,0.022040816,0.239183673,0.051428571,0.046530612
MRMR,0.374693878,0.293061224,0.374693878,0.320816327,0.515102041
ERFS,0.54122449,0.554285714,0.544489796,0.471020408,0.655510204
Variance,0.026938776,0.152653061,0.026938776,0.177142857,0.088979592
Sim Entropy,0.291428571,0.028571429,0.291428571,0.124897959,0.022040816
Rep Entropy,0.168979592,0.24244898,0.168979592,0.263673469,0.046530612
SPECtrum,0.302857143,0.072653061,0.302857143,0.133061224,0.00244898
Lap Score,0.09877551,0.139591837,0.09877551,0.2,0.136326531
Mutual Corre,0.271836735,0.035102041,0.271836735,0.128163265,0.054693878
MICI,0.108571429,0.075918367,0.108571429,0.031836735,0.044897959
MDCM,0.25877551,0.361632653,0.25877551,0.395918367,0.023673469
Linear Depend,0.413877551,0.216326531,0.413877551,0.263673469,0.093877551
MPMR,0.312653061,0.516734694,0.312653061,0.551020408,0.16244898
MCFS,0.180408163,0.22122449,0.180408163,0.209795918,0.281632653
RSPCA,0.010612245,0.12,0.010612245,0.14122449,0.075918367
ANOVA F,0.17877551,0.015510204,0.17877551,0.074285714,0.044897959
ReliefF,0.134693878,0.075918367,0.134693878,0.004081633,0.064489796
Info Gain,0.08244898,0.102040816,0.08244898,0.044897959,0.071020408
MRMR,0.201632653,0.056326531,0.201632653,0.168979592,0.116734694
ERFS,0.573877551,0.516734694,0.573877551,0.518367347,0.613061224
Variance,0.185306122,0.115102041,0.190204082,0.159183673,0.22122449
Sim Entropy,0.028571429,0.04,0.023673469,0.159183673,0.000816327
Rep Entropy,0.302857143,0.284897959,0.304489796,0.286530612,0.16244898
SPECtrum,0.015510204,0.049795918,0.010612245,0.116734694,0.007346939
Lap Score,0.046530612,0.110204082,0.048163265,0.144489796,0.01877551
Mutual Corre,0.097142857,0.075918367,0.092244898,0.224489796,0.044897959
MICI,0.291428571,0.126530612,0.296326531,0.196734694,0.164081633
MDCM,0.257142857,0.222857143,0.252244898,0.286530612,0.057959184
Linear Depend,0.252244898,0.289795918,0.250612245,0.333877551,0.190204082
MPMR,0.315918367,0.369795918,0.31755102,0.377959184,0.152653061
MCFS,0.151020408,0.188571429,0.155918367,0.170612245,0.255510204
RSPCA,0.185306122,0.108571429,0.190204082,0.16244898,0.224489796
ANOVA F,0.051428571,0.088979592,0.056326531,0.266938776,0.16244898
ReliefF,0.116734694,0.010612245,0.111836735,0.09877551,0.028571429
Info Gain,0.16244898,0.015510204,0.15755102,0.062857143,0.038367347
MRMR,0.113469388,0.062857143,0.118367347,0.253877551,0.231020408
ERFS,0.601632653,0.645714286,0.606530612,0.686530612,0.719183673
Variance,0.262040816,0.028571429,0.262040816,0.053061224,0.062857143
Sim Entropy,0.213061224,0.028571429,0.213061224,0.133061224,0.124897959
Rep Entropy,0.262040816,0.139591837,0.262040816,0.268571429,0.074285714
SPECtrum,0.185306122,0.028571429,0.185306122,0.062857143,0.067755102
Lap Score,0.04,0.084081633,0.04,0.320816327,0.106938776
Mutual Corre,0.137959184,0.013877551,0.137959184,0.195102041,0.128163265
MICI,0.320816327,0.012244898,0.320816327,0.015510204,0.000816327
MDCM,0.15755102,0.240816327,0.15755102,0.337142857,0.067755102
Linear Depend,0.293061224,0.350204082,0.293061224,0.335510204,0.113469388
MPMR,0.2,0.312653061,0.2,0.363265306,0.004081633
MCFS,0.24244898,0.168979592,0.24244898,0.111836735,0.297959184
RSPCA,0.263673469,0.020408163,0.263673469,0.044897959,0.067755102
ANOVA F,0.111836735,0.035102041,0.111836735,0.182040816,0.069387755
ReliefF,0.335510204,0.036734694,0.335510204,0.147755102,0.048163265
Info Gain,0.363265306,0.012244898,0.363265306,0.116734694,0.046530612
MRMR,0.013877551,0.051428571,0.013877551,0.188571429,0.007346939
ERFS,0.590204082,0.568979592,0.590204082,0.511836735,0.531428571
Variance,0.222222222,0.148148148,0.222222222,0.148148148,0.037037037
Sim Entropy,0.333333333,0.037037037,0.333333333,0.037037037,0.296296296
Rep Entropy,0.074074074,0.148148148,0.074074074,0.148148148,0.481481481
SPECtrum,0.148148148,0.074074074,0.148148148,0.074074074,0.111111111
Lap Score,0.037037037,0.037037037,0.037037037,0.111111111,0.296296296
Mutual Corre,0.222222222,0.074074074,0.222222222,0.074074074,0.333333333
MICI,0.259259259,0.111111111,0.259259259,0.185185185,0
MDCM,0.037037037,0.185185185,0.037037037,0.259259259,0.37037037
Linear Depend,0.407407407,0.407407407,0.407407407,0.407407407,0.148148148
MPMR,0,0.222222222,0,0.296296296,0.333333333
MCFS,0.296296296,0.148148148,0.296296296,0.296296296,0.481481481
RSPCA,0.222222222,0.148148148,0.222222222,0.148148148,0.037037037
ANOVA F,0.296296296,0,0.296296296,0.074074074,0.259259259
ReliefF,0.444444444,0.148148148,0.444444444,0.222222222,0.111111111
Info Gain,0.481481481,0.111111111,0.481481481,0.037037037,0.074074074
MRMR,0.037037037,0.037037037,0.037037037,0.037037037,0.222222222
ERFS,0.740740741,0.37037037,0.740740741,0.37037037,0.407407407
