Unnamed: 0,LNR,RDR,LSR,GBR,RFR
Variance,0.139687875,0.403601441,0.139687875,0.46727491,0.462857143
Sim Entropy,0.771140456,0.611908764,0.771140456,0.58665066,0.567539016
Rep Entropy,0.126530612,0.243121248,0.126530612,0.270492197,0.243121248
SPECtrum,0.647154862,0.419063625,0.647154862,0.371044418,0.360672269
Lap Score,0.207490996,0.304201681,0.207490996,0.35030012,0.323409364
Mutual Corre,0.544585834,0.356638655,0.544585834,0.312653061,0.30545018
MICI,0.165234094,0.147755102,0.165234094,0.204897959,0.233805522
MDCM,0.067563025,0.090804322,0.067563025,0.116638655,0.124801921
Linear Depend,0.72062425,0.541512605,0.72062425,0.507995198,0.492244898
MPMR,0.606338535,0.44057623,0.606338535,0.390252101,0.379495798
MCFS,0.655318127,0.5830012,0.655318127,0.62122449,0.598655462
RSPCA,0.123841537,0.40244898,0.123841537,0.476014406,0.476014406
ANOVA F,0.865066026,0.909339736,0.865066026,0.871884754,0.874477791
ReliefF,0.711788715,0.650036014,0.711788715,0.637935174,0.633421369
Info Gain,0.63879952,0.605378151,0.63879952,0.612869148,0.60969988
MRMR,0.802737095,0.963985594,0.802737095,0.914429772,0.924417767
ERFS,0.809171669,0.68787515,0.809171669,0.663673469,0.638415366
Variance,0.341848739,0.503385354,0.341752701,0.656278511,0.676254502
Sim Entropy,0.392557023,0.291236495,0.392845138,0.175030012,0.146218487
Rep Entropy,0.236590636,0.326482593,0.236110444,0.391116447,0.402833133
SPECtrum,0.220264106,0.087635054,0.21997599,0.061512605,0.092629052
Lap Score,0.197695078,0.215270108,0.197791116,0.274333733,0.268763505
Mutual Corre,0.328595438,0.202977191,0.328979592,0.129315726,0.091476591
MICI,0.259447779,0.438463385,0.259639856,0.562641056,0.594237695
MDCM,0.009843938,0.094453782,0.0084994,0.215462185,0.202016807
Linear Depend,0.628139256,0.555054022,0.628043217,0.415030012,0.397743097
MPMR,0.277022809,0.250132053,0.27635054,0.081296519,0.112989196
