,LNR,RDR,LSR,GBR,RFR
Variance,0.074285714,0.074285714,0.07245719,0.165714286,0.235918367
Sim Entropy,0.266938776,0.266938776,0.210631366,0.404081633,0.513469388
Rep Entropy,0.366530612,0.366530612,0.294883912,0.451428571,0.629387755
SPECtrum,0.431836735,0.431836735,0.382506561,0.353469388,0.469387755
Lap Score,0.100408163,0.100408163,0.129748921,0.110204082,0.144489796
Mutual Corre,0.115102041,0.115102041,0.079197394,0.24244898,0.283265306
MICI,0.100408163,0.100408163,0.096047903,0.208163265,0.268571429
MDCM,0.134693878,0.134693878,0.10952831,0.219591837,0.293061224
Linear Depend,0.106938776,0.106938776,0.075827292,0.087346939,0.213061224
MPMR,0.364897959,0.364897959,0.321844727,0.453061224,0.631020408
MCFS,0.423673469,0.423673469,0.369026153,0.466122449,0.516734694
RSPCA,0.030204082,0.030204082,0.05392163,0.14122449,0.010612245
ANOVA F,0.906938776,0.906938776,0.893076992,0.635918367,0.595102041
ReliefF,0.351836735,0.351836735,0.34543544,0.247346939,0.284897959
Info Gain,0.596734694,0.596734694,0.534161144,0.681632653,0.768163265
MRMR,0.846530612,0.846530612,0.869486279,0.575510204,0.528163265
ERFS,0.771428571,0.771428571,0.78186363,0.663673469,0.577142857
Variance,0.004081633,0.004081633,0.061196309,0.12,0.152653061
Sim Entropy,0.222857143,0.222857143,0.19548821,0.340408163,0.395918367
Rep Entropy,0.311020408,0.311020408,0.220986672,0.405714286,0.503673469
SPECtrum,0.474285714,0.474285714,0.387576625,0.405714286,0.490612245
Lap Score,0.064489796,0.064489796,0.152990773,0.080816327,0.110204082
Mutual Corre,0.273469388,0.273469388,0.192088415,0.358367347,0.410612245
MICI,0.015510204,0.015510204,0.052696822,0.136326531,0.175510204
MDCM,0.206530612,0.206530612,0.120692721,0.294693878,0.353469388
Linear Depend,0.144489796,0.144489796,0.079895181,0.111836735,0.075918367
MPMR,0.126530612,0.126530612,0.158090465,0.247346939,0.361632653
MCFS,0.358367347,0.358367347,0.314481033,0.328979592,0.387755102
RSPCA,0.053061224,0.053061224,0.030598155,0.066122449,0.000816327
ANOVA F,0.84,0.84,0.882246791,0.644081633,0.601632653
ReliefF,0.430204082,0.430204082,0.472571499,0.39755102,0.400816327
Info Gain,0.56244898,0.56244898,0.508269346,0.631020408,0.666938776
MRMR,0.776326531,0.776326531,0.885646586,0.573877551,0.518367347
ERFS,0.807346939,0.807346939,0.744555095,0.774693878,0.673469388
Variance,0.043265306,0.043265306,0.002597403,0.017142857,0.053061224
Sim Entropy,0.268571429,0.268571429,0.25021645,0.278367347,0.294693878
Rep Entropy,0.325714286,0.325714286,0.265800866,0.263673469,0.319183673
SPECtrum,0.355102041,0.355102041,0.319480519,0.227755102,0.273469388
Lap Score,0.124897959,0.124897959,0.193073593,0.115102041,0.108571429
Mutual Corre,0.250612245,0.250612245,0.208658009,0.195102041,0.231020408
MICI,0.046530612,0.046530612,0.000865801,0.017142857,0.053061224
