,linear,ridge,lasso,gradboost,randomforest
Variance,0.10924369747899158,0.10924369747899158,0.1091005375285485,0.22016806722689078,0.3310924369747899
Sim Entropy,0.39793517406962786,0.39793517406962786,0.31365801907235374,0.570516206482593,0.6962304921968787
Rep Entropy,0.5484273709483793,0.5484273709483793,0.4552042754505325,0.626218487394958,0.826938775510204
SPECtrum,0.6042256902761104,0.6042256902761104,0.5425136318200425,0.5243217286914765,0.6718367346938775
Lap Score,0.16273709483793514,0.16273709483793514,0.1808378772733475,0.1507322929171669,0.23543817527010802
Mutual Corre,0.18981992797118846,0.18981992797118846,0.12852940037609822,0.33733493397358943,0.38324129651860744
MICI,0.14506602641056424,0.14506602641056424,0.13031319175416112,0.2745258103241296,0.3805522208883553
MDCM,0.22410564225690274,0.22410564225690274,0.1717260780718912,0.316110444177671,0.42953181272509
Linear Depend,0.15879951980792315,0.15879951980792315,0.12905971673173855,0.15495798319327728,0.33935174069627844
MPMR,0.5658103241296518,0.5658103241296518,0.4931942107454933,0.6414885954381752,0.8373109243697479
MCFS,0.6363025210084033,0.6363025210084033,0.5547591185775553,0.659639855942377,0.7206242496998799
RSPCA,0.05114045618247299,0.05114045618247299,0.08682725059165526,0.1741656662665066,0.023097238895558224
ANOVA F,0.9805042016806722,0.9805042016806722,0.9772284117117446,0.8257863145258102,0.8036974789915966
ReliefF,0.4895558223289315,0.4895558223289315,0.4817200932325482,0.3970708283313325,0.4448019207683073
Info Gain,0.8061944777911164,0.8061944777911164,0.729522463049932,0.8739975990396157,0.9319087635054021
MRMR,0.9561104441776711,0.9561104441776711,0.9657060836210142,0.7657623049219687,0.7319567827130853
ERFS,0.9269147659063625,0.9269147659063625,0.9308016253043243,0.8246338535414165,0.7627851140456181
Variance,0.006770708283313325,0.006770708283313325,0.08727074139884143,0.18194477791116445,0.22160864345738293
Sim Entropy,0.32686674669867943,0.32686674669867943,0.26336112254636507,0.489171668667467,0.5668667466986794
Rep Entropy,0.458343337334934,0.458343337334934,0.3522291653684798,0.5726290516206483,0.6764465786314526
SPECtrum,0.6637695078031213,0.6637695078031213,0.5958902370278074,0.6029771908763506,0.7007442977190875
Lap Score,0.11394957983193275,0.11394957983193275,0.2166037536105465,0.1185594237695078,0.17685474189675868
Mutual Corre,0.3995678271308523,0.3995678271308523,0.2826255457725097,0.49810324129651856,0.55937575030012
MICI,0.04336134453781513,0.04336134453781513,0.07696088675771373,0.20528211284513803,0.25099639855942374
MDCM,0.33464585834333727,0.33464585834333727,0.2211536425132038,0.44710684273709483,0.506842737094838
Linear Depend,0.21805522208883552,0.21805522208883552,0.08993291043763027,0.15486194477791115,0.12720288115246098
MPMR,0.24744297719087635,0.24744297719087635,0.25460016625507814,0.38141656662665063,0.5072268907563025
MCFS,0.5032893157262905,0.5032893157262905,0.41103889958899686,0.4613205282112845,0.5332533013205282
RSPCA,0.05315726290516206,0.05315726290516206,0.03562466204633793,0.037406962785114045,0.022040816326530613
ANOVA F,0.9563985594237694,0.9563985594237694,0.9722241329656843,0.844705882352941,0.8122448979591836
ReliefF,0.6201680672268908,0.6201680672268908,0.6365488187111278,0.5806002400960384,0.5942376950780313
Info Gain,0.780360144057623,0.780360144057623,0.7231419170819139,0.8411524609843937,0.8614165666266507
MRMR,0.9030012004801921,0.9030012004801921,0.9719337145250893,0.7806482593037215,0.7349339735894357
ERFS,0.9485234093637455,0.9485234093637455,0.9091065252096726,0.9143337334933973,0.8623769507803122
Variance,0.08667466986794717,0.08667466986794717,0.005959356700264461,0.056806722689075634,0.1117406962785114
Sim Entropy,0.3578871548619447,0.3578871548619447,0.3133058514384939,0.3981272509003601,0.41992797118847536
Rep Entropy,0.5011764705882352,0.5011764705882352,0.4101698214108252,0.39841536614645856,0.4836014405762305
SPECtrum,0.5212484993997599,0.5212484993997599,0.478995506580273,0.3397358943577431,0.4101320528211284
Lap Score,0.2200720288115246,0.2200720288115246,0.2969908912918683,0.1640816326530612,0.16715486194477788
Mutual Corre,0.3426170468187274,0.3426170468187274,0.2827275129600877,0.2803841536614646,0.33935174069627844
MICI,0.09262905162064825,0.09262905162064825,0.006008203886332203,0.04163265306122449,0.0885954381752701
MDCM,0.3064105642256902,0.3064105642256902,0.24716676150277192,0.2103721488595438,0.2899879951980792
Linear Depend,0.05997599039615846,0.05997599039615846,0.12245989547182791,0.11375750300120048,0.12307322929171667
MPMR,0.36528211284513806,0.36528211284513806,0.3586848872954257,0.33474189675870347,0.4068667466986795
MCFS,0.37642256902761095,0.37642256902761095,0.32776461851454536,0.3076590636254502,0.29642256902761105
RSPCA,0.07726290516206481,0.07726290516206481,0.04093394192476737,0.003889555822328931,0.05527010804321728
ANOVA F,0.9120288115246098,0.9120288115246098,0.9472446322256428,0.7984153661464586,0.8211764705882353
