,KMS,AGC,SPC,DBC,BIR
Variance,0.1374236,0.010629614,0.234861592,0.038332594,0.03108391
Sim Entropy,0.058895829,0.004088313,0.198854936,0.043443606,0.03108391
Rep Entropy,0.06543981,0.108749123,0.243044922,0.01107386,0.0687118
SPECtrum,0.109611681,0.046606767,0.058101648,0.002555506,0.292843148
Lap Score,0.029447914,0.015535589,0.12520496,0.02981424,0.060531824
Mutual Corre,0.014723957,0.056418718,0.092471637,0.01107386,0.076891776
MICI,0.078086758,0.02483561,0.046161098,0.038810359,0.014197592
MDCM,0.032719905,0.144726277,0.156301617,0.016184873,0.109611681
Linear Depend,0.139059595,0.000817663,0.084288306,0.014481202,0.229039334
MPMR,0.1030677,0.067865994,0.272504913,0.043443606,0.057259833
MCFS,0.114519667,0.136549651,0.007364998,0.02981424,0.219223362
RSPCA,0.135787605,0.102207823,0.30360157,0.101368415,0.245399286
Variance,0.018010717,0.118658295,0.214693878,0.144277464,0.065493515
Sim Entropy,0.103152286,0.166121614,0.250612245,0.098108676,0.150635084
Rep Entropy,0.03110942,0.16775828,0.284897959,0.112948643,0.135899043
SPECtrum,0.055669488,0.076104976,0.131428571,0.157468547,0.07695488
Lap Score,0.029472082,0.023731659,0.038367347,0.025557722,0.029472082
Mutual Corre,0.157184436,0.182488275,0.283265306,0.018962181,0.186656517
MICI,0.103644601,0.14384421,0.05039285,0.099199913,0.031692977
MDCM,0.170283139,0.272504913,0.438367347,0.010717754,0.250512694
Linear Depend,0.247238019,0.262684916,0.345306122,0.182201826,0.266886073
MPMR,0.165371125,0.01063833,0.069387755,0.304219339,0.027834744
MCFS,0.260336722,0.184124941,0.257142857,0.279486059,0.148997746
RSPCA,0.12280034,0.054828316,0.15755102,0.315761536,0.016373379
Variance,0.054076566,0.078656823,0.258699384,0.023731659,0.077805495
Sim Entropy,0.1720618,0.126178654,0.193205869,0.081014974,0.01883712
Rep Entropy,0.106514448,0.221222315,0.168645801,0.05319165,0.045045287
SPECtrum,0.127817337,0.157313646,0.052394812,0.095744969,0.000819005
Lap Score,0.306433873,0.091766294,0.044208123,0.110474965,0.089271568
Mutual Corre,0.204835477,0.155674962,0.162096449,0.136661623,0.023751151
MICI,0.084004452,0.16188358,0.11541125,0.152070598,0.090967427
MDCM,0.216306263,0.24907994,0.203029896,0.131751625,0.085995547
Linear Depend,0.263828094,0.188448639,0.111338975,0.220131596,0.045045287
MPMR,0.275298881,0.073740772,0.080229556,0.203764935,0.036855235
MCFS,0.067186036,0.045883147,0.086778907,0.092471637,0.100737641
