,knn,agg,spc,dbs,aff
Variance,0.18782567070181339,0.022475147776914225,0.35112744534688367,0.06527224383372865,0.04687349967006948
Sim Entropy,0.07650378251802319,0.005234596383939425,0.2998343101218157,0.0525966071963751,0.053116896142517266
Rep Entropy,0.09508944719754296,0.15309993827521914,0.34248253491569247,0.02345721262774623,0.10234367602143243
SPECtrum,0.160595510822517,0.04442203353343089,0.08030161244973184,0.012044283088366595,0.3884353128396742
Lap Score,0.04447112530551756,0.03683426996772053,0.19537497574492171,0.04463183934761654,0.08783978575466915
Mutual Corre,0.014935766706280735,0.09479902075134332,0.13481257544640984,0.03438448559098206,0.10705023643912384
MICI,0.10810911624732374,0.027771602645439753,0.05835632278275148,0.03134546169618214,0.014142946590083862
MDCM,0.028190659345938236,0.21322576096046825,0.21324112396938358,0.03292751586255061,0.15286716132154832
Linear Depend,0.2009364884214746,0.03356865020526291,0.14100809458876357,0.03899822306434829,0.3324368490944887
MPMR,0.14503541946291904,0.09460692547119877,0.3857070870716486,0.04846852629915268,0.07905100456653112
MCFS,0.17961340026202557,0.19771406708879458,0.01661743893995647,0.031227717846047266,0.3034290685609621
RSPCA,0.1867691212885073,0.14215050730697884,0.4429075777580305,0.14919370019137979,0.35015848985089815
Variance,0.03261130649489264,0.18298393746021432,0.3099639855942377,0.21230576049085326,0.09783156971298071
Sim Entropy,0.15979059898160208,0.24148116471127493,0.35990396158463384,0.14051130966121703,0.23778306413793202
Rep Entropy,0.06733586407340131,0.26102826774180177,0.39515006002400954,0.17710580201309453,0.19816055799497223
SPECtrum,0.07761394888917011,0.10738899846746434,0.18876350540216086,0.2260587497321633,0.10018490644147166
Lap Score,0.03184285155539591,0.026943304177212656,0.041152460984393756,0.04058574447435564,0.02627092225478667
Mutual Corre,0.23927765678579546,0.2826885710999531,0.4156062424969988,0.019763911112512043,0.27606080643603986
MICI,0.12884175973779638,0.2106928096977072,0.05971809577966686,0.12483546595307951,0.055883287410926366
MDCM,0.2630037030427571,0.3866676326751142,0.6027851140456181,0.01279124174191777,0.37062652109723715
Linear Depend,0.3850919815553008,0.39147036069244273,0.49743097238895556,0.2651537855824609,0.3821530683388255
MPMR,0.243456130519309,0.010085728836389763,0.06823529411764705,0.4074924154925233,0.03371515068164578
MCFS,0.3790884273404825,0.25209519362957084,0.36451380552220886,0.3773416313865743,0.21996494319364343
RSPCA,0.16805148958119198,0.09173210513097357,0.22833133253301321,0.45279072271390125,0.004850755297501744
Variance,0.0729569431799875,0.12761767899229803,0.36554440903185254,0.04817136201380445,0.11531903921998024
Sim Entropy,0.2600802154836289,0.19317964053708042,0.2826953608673609,0.11483322689432346,0.03405297742897376
Rep Entropy,0.16627843139507356,0.3213736884220798,0.2558474664186938,0.09672694226899517,0.07881655283631302
SPECtrum,0.19163805351425287,0.24188281197034733,0.07953508623791196,0.12765651070059045,0.011911337662038774
Lap Score,0.4032083857774819,0.12872238603664238,0.06003554214818233,0.15767356080889333,0.10023774879304405
Mutual Corre,0.2859681630636245,0.22795389706339722,0.2516209642514618,0.20406791345628625,0.03525371711264703
MICI,0.11505818908358323,0.22452408162194565,0.15480051192066663,0.20840004184815075,0.1228558441330124
MDCM,0.3241036554170873,0.3634005868482224,0.30589309435341855,0.189851838524994,0.12487692710201942
Linear Depend,0.3634398874542234,0.2941882889829979,0.15186590741804204,0.30036261020372185,0.0724766473065182
MPMR,0.4018155277444209,0.12617675676054457,0.11728543514068898,0.29762505523384464,0.06392738075876456
MCFS,0.08991138751345398,0.07146974269497158,0.11108976719099659,0.14124823098963,0.14389664369140392
RSPCA,0.23010975297914424,0.09024976244882499,0.1576773478979861,0.35045506342445765,0.08405177785712845
Variance,0.18952930421663833,0.08828898568086865,0.2595687472953448,0.34682802830101395,0.030212061862606266
Sim Entropy,0.35307397752065595,0.024594102648860038,0.4676079356919098,0.10949430968240262,0.01287254782063351
Rep Entropy,0.3296830066251914,0.08737631390288363,0.4485424791375616,0.29601882670277624,0.01287254782063351
SPECtrum,0.1956292083310613,0.10495725446827965,0.3037026379085589,0.32425683288402746,0.1267081386225045
Lap Score,0.14601345281768388,0.04822749816299898,0.06512029996900788,0.40863468468752806,0.09231730190767765
Mutual Corre,0.30893372648794165,0.06772985299783722,0.45286462294081437,0.1627047022824474,0.04058695115087804
MICI,0.12311947641442121,0.06933822557955098,0.13237248138596439,0.0072051155575120875,0.005091159375976051
MDCM,0.223967345555546,0.05620136738118408,0.3221918086224733,0.3102819012535102,0.03294987986923354
Linear Depend,0.21344861326374578,0.0746469443678291,0.3013494707267879,0.237910004459045,0.0008165422125028721
